形成日,实际执行日,三状态,state_strength,risk_strength,state_phase,fast_engine,slow_engine,direction_score,direction_score_continuous,direction_score_band,risk_high_count,-1转0_score,-1转0_冻结阈值,-1转0_距阈值,+1转0_score,+1转0_冻结阈值,+1转0_距阈值,0转-1_score,0转-1_冻结阈值,0转-1_距阈值,0转-1_释放阈值,0转-1_距释放阈值,0转-1_事件信号,0转+1_score,0转+1_冻结阈值,0转+1_距阈值,0转+1_释放阈值,0转+1_距释放阈值,0转+1_事件信号,大涨_score,大涨_冻结阈值,大涨_距阈值,大涨_预测,大跌_score,大跌_冻结阈值,大跌_距阈值,大跌_预测
2024-04-29,2024-04-30,0,0.5171957671957673,0.7619047619047619,pending_switch,0.623015873015873,0.8551587301587302,0.765972222222222,0.771031746031746,0.7541666666666667,1.0,6.211023421945791,0.815842643776842,5.39518077816895,0.5424503039406883,0.4920211306764882,0.050429173264200045,-1.1848010577509305,1.2294466376933055,-2.414247695444236,0.6645986031220402,-1.8493996608729706,0,4.640096618357488,4.671980676328502,-0.03188405797101446,4.606280193236715,0.0338164251207731,0,0.3588266335010829,0.8135114753699175,-0.4546848418688346,0,0.5444533543486331,0.6832148298881413,-0.13876147553950824,0
2024-04-30,2024-05-06,1,0.6660052910052912,0.7301587301587302,entry,0.7162698412698413,0.8759920634920635,0.8118055555555557,0.820436507936508,0.7916666666666667,1.0,0.2171999974133616,0.815842643776842,-0.5986426463634804,0.5132685081931573,0.4920211306764882,0.021247377516669053,0.1931161642682019,1.2294466376933055,-1.0363304734251035,0.6645986031220402,-0.47148243885383834,0,-4.6980676328502415,4.671980676328502,-9.370048309178744,4.606280193236715,-9.304347826086957,0,0.3873131581377499,0.8135114753699175,-0.4261983172321676,0,0.5024172458484019,0.6832148298881413,-0.18079758403973945,0
2024-05-06,2024-05-07,1,0.7321428571428572,0.7321428571428572,entry,0.7936507936507937,0.9117063492063492,0.8570833333333333,0.8690476190476191,0.8291666666666667,1.0,0.4254178985108956,0.815842643776842,-0.3904247452659464,0.5351843958343181,0.4920211306764882,0.043163265157829867,0.6882465422762037,1.2294466376933055,-0.5412000954171018,0.6645986031220402,0.023647939154163522,0,4.683574879227053,4.671980676328502,0.011594202898550954,4.606280193236715,0.07729468599033851,0,0.3333628633509156,0.8135114753699175,-0.48014861201900194,0,0.431496050032147,0.6832148298881413,-0.2517187798559943,0
2024-05-07,2024-05-08,1,0.5138888888888891,0.7222222222222222,continuation,0.7698412698412699,0.7748015873015873,0.7534722222222223,0.7799603174603176,0.6916666666666667,1.0,0.5811546214937887,0.815842643776842,-0.2346880222830533,0.5227285179661773,0.4920211306764882,0.030707387289689025,-1.4812689302383433,1.2294466376933055,-2.710715567931649,0.6645986031220402,-2.1458675333603834,0,4.717391304347826,4.671980676328502,0.04541062801932405,4.606280193236715,0.1111111111111116,0,0.3204161436154531,0.8135114753699175,-0.4930953317544644,0,0.4176674026361723,0.6832148298881413,-0.265547427251969,0
2024-05-08,2024-05-09,1,0.4634353741496599,0.6259920634920635,continuation,0.7123015873015873,0.7490079365079365,0.7011111111111111,0.748015873015873,0.5916666666666667,0.0,0.6915026786626541,0.815842643776842,-0.12433996511418788,0.5136987930059596,0.4920211306764882,0.021677662329471326,-1.35528659951473,1.2294466376933055,-2.5847332372080354,0.6645986031220402,-2.0198852026367704,0,-4.659420289855072,4.671980676328502,-9.331400966183574,4.606280193236715,-9.265700483091788,0,0.5302812620472792,0.8135114753699175,-0.2832302133226383,0,0.4103871056907742,0.6832148298881413,-0.2728277241973671,0
2024-05-09,2024-05-10,1,0.4634353741496599,0.7242063492063492,continuation,0.8283730158730158,0.7906746031746033,0.8000694444444443,0.8161706349206348,0.7625000000000001,1.0,0.8150304982759294,0.815842643776842,-0.0008121455009125755,0.5218497302854201,0.4920211306764882,0.029828599608931916,0.5002316329526261,1.2294466376933055,-0.7292150047406795,0.6645986031220402,-0.16436697016941415,0,4.620772946859903,4.671980676328502,-0.051207729468599084,4.606280193236715,0.01449275362318847,0,0.3461577613378867,0.8135114753699175,-0.4673537140320308,0,0.4268149924153065,0.6832148298881413,-0.2563998374728348,0
2024-05-10,2024-05-13,1,0.7280377668308703,0.7410714285714286,continuation,0.7291666666666667,0.9027777777777778,0.8472916666666666,0.856845238095238,0.825,0.0,0.9120227642632392,0.815842643776842,0.09618012048639724,0.492393630418913,0.4920211306764882,0.0003724997424247589,-0.2904826481490054,1.2294466376933055,-1.519929285842311,0.6645986031220402,-0.9550812512710456,0,-4.611111111111111,4.671980676328502,-9.283091787439613,4.606280193236715,-9.217391304347824,0,0.4334499098682783,0.8135114753699175,-0.3800615655016392,0,0.4539775632430459,0.6832148298881413,-0.22923726664509542,0
2024-05-13,2024-05-14,1,0.6613300492610836,0.7599206349206349,continuation,0.6111111111111112,0.9057539682539683,0.8530555555555555,0.8222222222222222,0.925,1.0,1.0645848814053596,0.815842643776842,0.24874223762851755,0.4390161365310632,0.4920211306764882,-0.05300499414542503,0.9094796268931048,1.2294466376933055,-0.31996701080020074,0.6645986031220402,0.24488102377106458,0,-4.7270531400966185,4.671980676328502,-9.39903381642512,4.606280193236715,-9.333333333333332,0,0.3970951253428066,0.8135114753699175,-0.4164163500271109,0,0.4916718183993235,0.6832148298881413,-0.1915430114888178,0
2024-05-14,2024-05-15,1,0.0,0.7619047619047619,pending_switch,0.5902777777777778,0.8680555555555556,0.8049305555555555,0.7856150793650795,0.8499999999999999,1.0,1.2203216043882523,0.815842643776842,0.4044789606114103,0.427540111114312,0.4920211306764882,-0.06448101956217622,-1.693616295841417,1.2294466376933055,-2.9230629335347222,0.6645986031220402,-2.3582148989634573,0,-4.722222222222222,4.671980676328502,-9.394202898550724,4.606280193236715,-9.328502415458937,0,0.3713691502969755,0.8135114753699175,-0.44214232507294204,0,0.4824572625086651,0.6832148298881413,-0.2007575673794762,0
2024-05-15,2024-05-16,0,0.0,0.746031746031746,entry,0.5734126984126984,0.7787698412698412,0.6993055555555554,0.7186507936507935,0.6541666666666666,1.0,0.1807771549425805,0.815842643776842,-0.6350654888342615,0.4310434223957822,0.4920211306764882,-0.06097770828070603,-1.4652964601428258,1.2294466376933055,-2.694743097836131,0.6645986031220402,-2.129895063264866,0,-4.611111111111111,4.671980676328502,-9.283091787439613,4.606280193236715,-9.217391304347824,0,0.44272823303642,0.8135114753699175,-0.3707832423334975,0,0.4525963255689672,0.6832148298881413,-0.23061850431917413,0
