series,start_date,end_date,observations,final_nav,total_return_pct,annualized_additive_return_pct,annualized_volatility_pct,sharpe,max_drawdown_pct,active_days,winning_directional_days,directional_win_rate_pct,daily_win_rate_pct
Raw 1545,2018-01-03,2026-08-20,2094,2.4376191259256403,143.76191259256404,17.300860541225465,15.05626198898638,1.1490807315840414,-11.699579584923203,639,353,55.24256651017214,16.857688634192932
Adj 1545 (+4 Reversal),2018-01-03,2026-08-20,2094,3.831570035403436,283.15700354034357,34.07620099912446,17.78835606219628,1.9156464419746477,-10.949236836625985,1088,608,55.88235294117647,29.03533906399236
CSI500 Buy & Hold,2018-01-03,2026-08-20,2094,1.4487766273750522,44.87766273750522,5.400750243482003,24.038920688046208,0.2246669188507962,-45.905210327747234,2094,1082,51.671442215854825,51.671442215854825
