老师区间,实际执行日,推定形成日,原始状态,调整后三状态,调整原因,+1反转,-1反转,0转-1,0转+1,原始策略日收益,调整策略日收益,指数日收益,局部原始三状态_NAV,局部加入四反转_NAV,局部普通指数_NAV
红色区间1,2023-11-01,2023-10-31,0,1,0转+1持有,0,0,0,1,-0.0,-0.0036804898122333,-0.0036804898122333,1.0,0.9963195101877667,0.9963195101877667
红色区间1,2023-11-02,2023-11-01,0,1,0转+1持有,0,0,0,1,-0.0,-0.0094973318788451,-0.0094973318788451,1.0,0.9868221783089216,0.9868221783089216
红色区间1,2023-11-03,2023-11-02,0,0,基础0,0,0,0,0,0.0,0.0,0.0159547056979822,1.0,0.9868221783089216,1.0027768840069038
红色区间1,2023-11-06,2023-11-03,0,0,基础0,0,0,0,0,0.0,0.0,0.0081408239023836,1.0,0.9868221783089216,1.0109177079092875
红色区间1,2023-11-07,2023-11-06,0,0,基础0,0,0,0,0,0.0,0.0,0.0015200733968083,1.0,0.9868221783089216,1.0124377813060956
红色区间1,2023-11-08,2023-11-07,1,1,基础+1,0,0,0,0,-8.579377364936747e-05,-8.579377364936747e-05,-8.579377364936747e-05,0.9999142062263506,0.9867363845352722,1.0123519875324463
红色区间1,2023-11-09,2023-11-08,1,1,基础+1,0,0,0,0,-0.0044895930202463,-0.0044895930202463,-0.0044895930202463,0.9954246132061043,0.9822467915150259,1.0078623945122
红色区间1,2023-11-10,2023-11-09,1,1,基础+1,0,0,0,0,0.0021017915521011,0.0021017915521011,0.0021017915521011,0.9975264047582054,0.984348583067127,1.0099641860643012
红色区间1,2023-11-13,2023-11-10,1,1,基础+1,0,0,0,0,0.0024911883654128,0.0024911883654128,0.0024911883654128,1.0000175931236182,0.9868397714325399,1.012455374429714
红色区间1,2023-11-14,2023-11-13,1,1,基础+1,0,0,0,0,0.013308518218037,0.013308518218037,0.013308518218037,1.0133261113416552,1.000148289650577,1.025763892647751
红色区间1,2023-11-15,2023-11-14,1,1,基础+1,0,0,0,0,-0.0053700977338764,-0.0053700977338764,-0.0053700977338764,1.0079560136077788,0.9947781919167005,1.0203937949138746
红色区间1,2023-11-16,2023-11-15,1,1,基础+1,0,0,0,0,-0.008519174388987,-0.008519174388987,-0.008519174388987,0.9994368392187918,0.9862590175277134,1.0118746205248876
红色区间1,2023-11-17,2023-11-16,1,1,基础+1,0,0,0,0,0.0065429554418476,0.0065429554418476,0.0065429554418476,1.0059797946606395,0.9928019729695611,1.018417575966735
红色区间1,2023-11-20,2023-11-17,0,0,基础0,0,0,0,0,0.0,0.0,0.0059582793748875,1.0059797946606395,0.9928019729695611,1.0243758553416227
红色区间1,2023-11-21,2023-11-20,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0081676224246847,1.0059797946606395,0.9928019729695611,1.016208232916938
红色区间1,2023-11-22,2023-11-21,1,1,基础+1,0,0,0,0,-0.0099821594396376,-0.0099821594396376,-0.0099821594396376,0.9959976352210018,0.9828198135299234,1.0062260734773003
红色区间1,2023-11-23,2023-11-22,1,1,基础+1,0,0,0,0,0.0094463841019001,0.0094463841019001,0.0094463841019001,1.005444019322902,0.9922661976318236,1.0156724575792004
红色区间1,2023-11-24,2023-11-23,1,1,基础+1,0,0,0,0,-0.0100670745013982,-0.0100670745013982,-0.0100670745013982,0.9953769448215037,0.9821991231304253,1.0056053830778022
红色区间1,2023-11-27,2023-11-24,1,1,基础+1,0,0,0,0,-0.0002107051898767,-0.0002107051898767,-0.0002107051898767,0.995166239631627,0.9819884179405486,1.0053946778879255
红色区间1,2023-11-28,2023-11-27,1,1,基础+1,0,0,0,0,0.0048902321131427,0.0048902321131427,0.0048902321131427,1.0000564717447697,0.9868786500536914,1.0102849100010682
红色区间1,2023-11-29,2023-11-28,0,-1,0转-1持有,0,0,1,0,-0.0,0.0072019195480425,-0.0072019195480425,1.0000564717447697,0.9940805696017339,1.0030829904530256
红色区间1,2023-11-30,2023-11-29,0,-1,0转-1持有,0,0,1,0,-0.0,0.0013153047549223,-0.0013153047549223,1.0000564717447697,0.9953958743566561,1.0017676856981035
红色区间1,2023-12-01,2023-11-30,0,0,基础0,0,0,0,0,0.0,0.0,0.0067123232295525,1.0000564717447697,0.9953958743566561,1.008480008927656
红色区间1,2023-12-04,2023-12-01,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0063734169914225,1.0000564717447697,0.9953958743566561,1.0021065919362335
红色区间1,2023-12-05,2023-12-04,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0170325937287073,1.0000564717447697,0.9953958743566561,0.9850739982075262
红色区间1,2023-12-06,2023-12-05,0,0,基础0,0,0,0,0,0.0,0.0,0.0049207137983546,1.0000564717447697,0.9953958743566561,0.9899947120058807
红色区间1,2023-12-07,2023-12-06,0,0,基础0,0,0,0,0,0.0,0.0,0.0017195688583488,1.0000564717447697,0.9953958743566561,0.9917142808642295
红色区间1,2023-12-08,2023-12-07,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0020113286768137,1.0000564717447697,0.9953958743566561,0.9897029521874159
红色区间1,2023-12-11,2023-12-08,0,1,0转+1持有,0,0,0,1,0.0,0.0158548825378246,0.0158548825378246,1.0000564717447697,1.0112507568944806,1.0055578347252405
红色区间1,2023-12-12,2023-12-11,0,1,0转+1持有,0,0,0,1,-0.0,-0.0006095206031973,-0.0006095206031973,1.0000564717447697,1.0106412362912833,1.0049483141220432
红色区间1,2023-12-13,2023-12-12,0,1,0转+1持有,0,0,0,1,-0.0,-0.0043296742012028,-0.0043296742012028,1.0000564717447697,1.0063115620900807,1.0006186399208403
红色区间1,2023-12-14,2023-12-13,0,1,0转+1持有,0,0,0,1,-0.0,-0.0060757246435156,-0.0060757246435156,1.0000564717447697,1.000235837446565,0.9945429152773247
红色区间1,2023-12-15,2023-12-14,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0113431918700784,1.0000564717447697,1.000235837446565,0.9831997234072464
红色区间1,2023-12-18,2023-12-15,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0103465727205471,1.0000564717447697,1.000235837446565,0.9728531506866992
红色区间1,2023-12-19,2023-12-18,0,0,基础0,0,0,0,0,0.0,0.0,0.0009777475365539,1.0000564717447697,1.000235837446565,0.9738308982232531
红色区间1,2023-12-20,2023-12-19,-1,-1,基础-1,0,0,0,0,0.0184817269438543,0.0184817269438543,-0.0184817269438543,1.018538198688624,1.0187175643904194,0.9553491712793989
红色区间1,2023-12-21,2023-12-20,-1,-1,基础-1,0,0,0,0,-0.0096336048077301,-0.0096336048077301,0.0096336048077301,1.008904593880894,1.0090839595826893,0.9649827760871289
红色区间1,2023-12-22,2023-12-21,-1,-1,基础-1,0,0,0,0,0.0067087588486988,0.0067087588486988,-0.0067087588486988,1.0156133527295927,1.015792718431388,0.9582740172384301
红色区间1,2023-12-25,2023-12-22,-1,-1,基础-1,0,0,0,0,-0.0021175600036478,-0.0021175600036478,0.0021175600036478,1.013495792725945,1.0136751584277401,0.9603915772420779
红色区间1,2023-12-26,2023-12-25,-1,-1,基础-1,0,0,0,0,0.0096427497674059,0.0096427497674059,-0.0096427497674059,1.0231385424933508,1.0233179081951462,0.950748827474672
红色区间1,2023-12-27,2023-12-26,-1,-1,基础-1,0,0,0,0,-0.0036339914442644,-0.0036339914442644,0.0036339914442644,1.0195045510490863,1.0196839167508818,0.9543828189189364
红色区间1,2023-12-28,2023-12-27,0,0,基础0,0,0,0,0,0.0,0.0,0.0182336764147355,1.0195045510490863,1.0196839167508818,0.9726164953336719
红色区间1,2023-12-29,2023-12-28,0,0,基础0,0,0,0,0,0.0,0.0,0.0101361047345414,1.0195045510490863,1.0196839167508818,0.9827526000682133
红色区间1,2024-01-02,2023-12-29,0,0,基础0,0,0,0,0,-0.0,-0.0,-0.0061096625184038,1.0195045510490863,1.0196839167508818,0.9766429375498096
