series,year,phase,strategy_return_pct,index_return_pct,excess_return_pct,short_days,flat_days,long_days,directional_days,winning_directional_days,directional_win_rate_pct,mean_directional_return_pct,days,zero_down_days,zero_up_days,plus_exit_days,minus_exit_days,big_up_days,big_down_days
Adj 1545,2018,Train,6.498452908600216,-38.74557895161795,45.24403186021817,48,142,52,100,49,49.0,0.0649845290860022,242,40,44,1,1,12,40
Adj 1545,2019,Train,71.37610904387776,26.477225403368614,44.89888364050915,39,119,86,125,84,67.2,0.5710088723510222,244,35,27,0,4,17,14
Adj 1545,2020,Train,24.65433272760375,22.590672684749492,2.06366004285427,42,131,70,112,57,50.89285714285714,0.22012797078217639,243,42,47,7,6,18,26
Adj 1545,2021,Train,9.82741291119386,15.897308980343992,-6.069896069150123,69,90,84,153,90,58.82352941176471,0.06423145693590757,243,61,65,5,2,10,2
Adj 1545,2022,Train,28.805314429232265,-20.990004724908186,49.79531915414044,68,102,72,140,74,52.85714285714286,0.20575224592308755,242,37,53,6,13,10,9
Adj 1545,2023,Val,4.482964435821364,-6.531712246373825,11.014676682195187,50,120,72,122,64,52.459016393442624,0.03674561012968329,242,27,29,0,7,8,0
Adj 1545,2024,Val,59.099989757967144,10.594100458008185,48.50588929995897,46,109,87,133,69,51.8796992481203,0.4443608252478733,242,27,63,10,4,13,26
Adj 1545,2025,Test,42.934088983257304,29.607072755457196,13.327016227800105,30,122,91,121,72,59.50413223140496,0.35482718167981236,243,32,41,16,1,12,12
Adj 1545,2026,Test,35.47833834278934,6.603140189083378,28.87519815370596,40,72,42,82,49,59.756097560975604,0.4326626627169432,154,23,21,17,7,13,16
