signal_key,signal_label,run_id,start_date,end_date,run_length_trading_days,phase,raw_h1_mean_bp,directional_h1_mean_bp
minus_entry,零段向下（0→-1）,8,2018-05-16,2018-05-16,1,Development,-3.352461499542825,3.352461499542825
minus_entry,零段向下（0→-1）,9,2018-05-31,2018-05-31,1,Development,12.179388330926244,-12.179388330926244
minus_entry,零段向下（0→-1）,10,2018-06-11,2018-06-11,1,Development,-34.11470149932261,34.11470149932261
minus_entry,零段向下（0→-1）,11,2018-06-19,2018-06-19,1,Development,-523.6981882599134,523.6981882599134
minus_entry,零段向下（0→-1）,12,2018-08-03,2018-08-03,1,Development,-127.22024590529068,127.22024590529068
minus_entry,零段向下（0→-1）,13,2018-08-13,2018-08-13,1,Development,125.56171092320324,-125.56171092320324
minus_entry,零段向下（0→-1）,14,2018-08-22,2018-08-22,1,Development,-92.28088081137398,92.28088081137398
minus_entry,零段向下（0→-1）,15,2018-10-12,2018-10-12,1,Development,37.494415452381524,-37.494415452381524
minus_entry,零段向下（0→-1）,16,2018-11-30,2018-11-30,1,Development,345.227276948612,-345.227276948612
minus_entry,零段向下（0→-1）,17,2018-12-25,2018-12-25,1,Development,-35.151170773455306,35.151170773455306
minus_entry,零段向下（0→-1）,18,2019-01-30,2019-01-30,1,Development,-73.89697943080087,73.89697943080087
minus_entry,零段向下（0→-1）,19,2019-03-12,2019-03-12,1,Development,102.2002455982074,-102.2002455982074
minus_entry,零段向下（0→-1）,20,2019-03-28,2019-03-28,1,Development,-115.08107262217626,115.08107262217626
minus_entry,零段向下（0→-1）,21,2019-04-09,2019-04-09,1,Development,-14.164876960177653,14.164876960177653
minus_entry,零段向下（0→-1）,22,2019-04-25,2019-04-25,1,Development,-396.9967757993731,396.9967757993731
minus_entry,零段向下（0→-1）,23,2019-05-20,2019-05-20,1,Development,-40.17336466811017,40.17336466811017
minus_entry,零段向下（0→-1）,24,2019-06-04,2019-06-04,1,Development,-20.15073901376896,20.15073901376896
minus_entry,零段向下（0→-1）,25,2019-06-18,2019-06-18,1,Development,205.35346051740345,-205.35346051740345
minus_entry,零段向下（0→-1）,26,2019-07-08,2019-07-08,1,Development,-318.49578103194443,318.49578103194443
minus_entry,零段向下（0→-1）,27,2019-07-24,2019-07-24,1,Development,73.18934692781554,-73.18934692781554
minus_entry,零段向下（0→-1）,28,2019-08-05,2019-08-05,1,Development,-271.21044064521203,271.21044064521203
minus_entry,零段向下（0→-1）,29,2019-09-16,2019-09-16,1,Development,-48.90752299217871,48.90752299217871
minus_entry,零段向下（0→-1）,30,2019-09-30,2019-09-30,1,Development,-107.9237477662065,107.9237477662065
minus_entry,零段向下（0→-1）,31,2019-11-08,2019-11-08,1,Development,-149.82617635675211,149.82617635675211
minus_entry,零段向下（0→-1）,32,2019-11-21,2019-11-21,1,Development,49.613869692173296,-49.613869692173296
minus_entry,零段向下（0→-1）,33,2020-01-22,2020-01-22,1,Development,34.90194702964189,-34.90194702964189
minus_entry,零段向下（0→-1）,34,2020-02-17,2020-02-17,1,Development,281.1963547059615,-281.1963547059615
minus_entry,零段向下（0→-1）,35,2020-03-05,2020-03-05,1,Development,-100.34804365644301,100.34804365644301
minus_entry,零段向下（0→-1）,36,2020-04-01,2020-04-01,1,Development,-61.55141627327998,61.55141627327998
minus_entry,零段向下（0→-1）,37,2020-04-24,2020-04-24,1,Development,-133.75073399097937,133.75073399097937
minus_entry,零段向下（0→-1）,38,2020-06-05,2020-06-05,1,Development,59.472073777233625,-59.472073777233625
minus_entry,零段向下（0→-1）,39,2020-06-24,2020-06-24,1,Development,-58.67275948987505,58.67275948987505
minus_entry,零段向下（0→-1）,40,2020-07-20,2020-07-20,1,Development,198.60369398730037,-198.60369398730037
minus_entry,零段向下（0→-1）,41,2020-07-28,2020-07-28,1,Development,-7.365796142951853,7.365796142951853
minus_entry,零段向下（0→-1）,42,2020-08-11,2020-08-11,1,Development,-219.63208844916983,219.63208844916983
minus_entry,零段向下（0→-1）,43,2020-08-24,2020-08-24,1,Development,46.230885110982726,-46.230885110982726
minus_entry,零段向下（0→-1）,44,2020-09-10,2020-09-10,1,Development,-304.27276394770166,304.27276394770166
minus_entry,零段向下（0→-1）,45,2020-09-24,2020-09-24,1,Development,-129.04807817310848,129.04807817310848
