state,state_label,comparison,series,base_segments,new_segments,segment_count_delta,base_total_days,new_total_days,total_days_delta,base_mean_days,new_mean_days,mean_days_delta,base_one_day_share_pct,new_one_day_share_pct,one_day_share_delta_pct,base_mean_aligned_return_bp,new_mean_aligned_return_bp,mean_aligned_return_delta_bp,base_win_rate_pct,new_win_rate_pct,win_rate_delta_pct,base_adverse_tail_gt_3pct,new_adverse_tail_gt_3pct,adverse_tail_delta
-1,-1,仅退出信号 vs 基础,reversal,38,38,0,233,188,-45,6.131578947368421,4.947368421052632,-1.1842105263157894,0.0,0.0,0.0,126.38586690110093,188.40583002453482,62.0199631234339,60.526315789473685,65.78947368421053,5.26315789473685,4,2,-2
-1,-1,仅零段转移 vs 基础,transfer,38,159,121,233,366,133,6.131578947368421,2.30188679245283,-3.829692154915591,0.0,76.10062893081762,76.10062893081762,126.38586690110093,54.16620602303324,-72.21966087806769,60.526315789473685,57.23270440251572,-3.293611386957963,4,3,-1
-1,-1,四信号合并 vs 基础,combined,38,160,122,233,321,88,6.131578947368421,2.00625,-4.125328947368422,0.0,76.25,76.25,126.38586690110093,68.48870973878886,-57.89715716231207,60.526315789473685,58.75,-1.776315789473685,4,2,-2
0,0,仅退出信号 vs 基础,reversal,74,86,12,1452,1559,107,19.62162162162162,18.127906976744185,-1.4937146448774357,0.0,5.813953488372093,5.813953488372093,,,,,,,0,0,0
0,0,仅零段转移 vs 基础,transfer,74,235,161,1452,1236,-216,19.62162162162162,5.259574468085106,-14.362047153536516,0.0,18.29787234042553,18.29787234042553,,,,,,,0,0,0
0,0,四信号合并 vs 基础,combined,74,257,183,1452,1343,-109,19.62162162162162,5.22568093385214,-14.395940687769482,0.0,17.509727626459142,17.509727626459142,,,,,,,0,0,0
1,+1,仅退出信号 vs 基础,reversal,35,47,12,406,344,-62,11.6,7.319148936170213,-4.280851063829787,0.0,12.76595744680851,12.76595744680851,280.02039652077264,276.8423421983158,-3.1780543224568305,68.57142857142857,74.46808510638297,5.896656534954403,5,4,-1
1,+1,仅零段转移 vs 基础,transfer,35,109,74,406,489,83,11.6,4.486238532110092,-7.1137614678899075,0.0,67.88990825688074,67.88990825688074,280.02039652077264,104.38367858178319,-175.63671793898945,68.57142857142857,55.04587155963303,-13.525557011795541,5,6,1
1,+1,四信号合并 vs 基础,combined,35,121,86,406,427,21,11.6,3.5289256198347108,-8.071074380165289,0.0,65.28925619834712,65.28925619834712,280.02039652077264,120.55621908423882,-159.46417743653382,68.57142857142857,58.67768595041323,-9.893742621015342,5,5,0
