series,run_id,state,state_label,start_date,end_date,start_formation_date,end_formation_date,phase,holding_days,previous_state,next_state,formation_mechanism,source_detail,segment_return,return_available,+1反转_days,-1反转_days,0转-1_days,0转+1_days,大涨_days,大跌_days
Adj 1545,101,1,+1,2020-03-03,2020-03-04,2020-03-02,2020-03-03,Train,2,0,0.0,0转+1持有路径短段,0转+1持有,0.0070103298945448644,True,0,0,0,2,0,0
Adj 1545,106,0,0,2020-04-01,2020-04-01,2020-03-31,2020-03-31,Train,1,1,-1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,1,1,0,0
Adj 1545,107,-1,-1,2020-04-02,2020-04-02,2020-04-01,2020-04-01,Train,1,0,0.0,0转-1持有路径短段,0转-1持有,-0.02898648606610066,True,0,0,1,0,0,0
Adj 1545,109,-1,-1,2020-04-24,2020-04-27,2020-04-23,2020-04-24,Train,2,0,0.0,0转-1持有路径短段,0转-1持有,0.015431001376227216,True,0,0,2,0,0,0
Adj 1545,113,-1,-1,2020-06-05,2020-06-08,2020-06-04,2020-06-05,Train,2,0,0.0,0转-1持有路径短段,0转-1持有,0.0005015074313424739,True,0,0,2,0,0,0
Adj 1545,114,0,0,2020-06-09,2020-06-10,2020-06-08,2020-06-09,Train,2,-1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,116,-1,-1,2020-06-24,2020-06-24,2020-06-23,2020-06-23,Train,1,1,0.0,0转-1持有路径短段,0转-1持有,0.005867275948987505,True,0,0,1,0,0,0
Adj 1545,117,0,0,2020-06-29,2020-06-29,2020-06-24,2020-06-24,Train,1,-1,1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,1,1,0,0
Adj 1545,122,1,+1,2020-07-30,2020-07-31,2020-07-29,2020-07-30,Train,2,0,0.0,0转+1持有路径短段,0转+1持有,0.013387931940572084,True,0,0,0,2,0,0
Adj 1545,124,-1,-1,2020-08-11,2020-08-12,2020-08-10,2020-08-11,Train,2,0,0.0,0转-1持有路径短段,0转-1持有,0.026163250735457555,True,0,0,2,0,1,0
Adj 1545,127,0,0,2020-08-24,2020-08-25,2020-08-21,2020-08-24,Train,2,1,1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,2,2,0,0
Adj 1545,128,1,+1,2020-08-26,2020-08-26,2020-08-25,2020-08-25,Train,1,0,0.0,0转+1持有路径短段,0转+1持有,-0.01688800259952372,True,0,0,0,1,0,0
Adj 1545,132,0,0,2020-09-18,2020-09-18,2020-09-17,2020-09-17,Train,1,-1,1.0,退出反转切出的0段,-1退出到0,0.0,True,0,1,0,0,0,0
