series,run_id,state,state_label,start_date,end_date,start_formation_date,end_formation_date,phase,holding_days,previous_state,next_state,formation_mechanism,source_detail,segment_return,return_available,+1反转_days,-1反转_days,0转-1_days,0转+1_days,大涨_days,大跌_days
Adj 1545,370,-1,-1,2024-08-14,2024-08-15,2024-08-13,2024-08-14,Val,2,0,0.0,0转-1持有路径短段,0转-1持有,0.005385798838210221,True,0,0,2,0,0,0
Adj 1545,372,-1,-1,2024-08-26,2024-08-27,2024-08-23,2024-08-26,Val,2,0,0.0,0转-1持有路径短段,0转-1持有,0.012443860993160527,True,0,0,2,0,0,0
Adj 1545,374,-1,-1,2024-09-12,2024-09-13,2024-09-11,2024-09-12,Val,2,0,0.0,0转-1持有路径短段,0转-1持有,0.015292590919911198,True,0,0,2,0,0,0
Adj 1545,379,0,0,2024-11-01,2024-11-01,2024-10-31,2024-10-31,Val,1,1,1.0,退出反转切出的0段,+1退出到0,0.0,True,1,0,0,0,0,0
Adj 1545,385,-1,-1,2024-12-06,2024-12-09,2024-12-05,2024-12-06,Val,2,0,0.0,0转-1持有路径短段,0转-1持有,-0.03841868723297659,True,0,0,2,0,0,0
Adj 1545,386,0,0,2024-12-10,2024-12-10,2024-12-09,2024-12-09,Val,1,-1,1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,1,1,0,0
Adj 1545,390,0,0,2024-12-26,2024-12-26,2024-12-25,2024-12-25,Val,1,-1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,394,0,0,2025-01-20,2025-01-20,2025-01-17,2025-01-17,Test,1,1,-1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,1,1,0,0
Adj 1545,395,-1,-1,2025-01-21,2025-01-22,2025-01-20,2025-01-21,Test,2,0,0.0,0转-1持有路径短段,0转-1持有,-0.003559051782234257,True,0,0,2,0,0,0
Adj 1545,400,0,0,2025-03-25,2025-03-26,2025-03-24,2025-03-25,Test,2,1,-1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,401,-1,-1,2025-03-27,2025-03-28,2025-03-26,2025-03-27,Test,2,0,0.0,0转-1持有路径短段,0转-1持有,0.007637177355242053,True,0,0,2,0,0,0
Adj 1545,405,-1,-1,2025-04-14,2025-04-15,2025-04-11,2025-04-14,Test,2,0,0.0,0转-1持有路径短段,0转-1持有,0.00782019855879601,True,0,0,2,0,0,0
Adj 1545,407,-1,-1,2025-05-19,2025-05-20,2025-05-16,2025-05-19,Test,2,0,0.0,0转-1持有路径短段,0转-1持有,-0.0038880529680398457,True,0,0,2,0,0,0
Adj 1545,409,-1,-1,2025-05-27,2025-05-28,2025-05-26,2025-05-27,Test,2,0,0.0,0转-1持有路径短段,0转-1持有,0.005166898373625162,True,0,0,2,0,0,0
Adj 1545,410,0,0,2025-05-29,2025-05-29,2025-05-28,2025-05-28,Test,1,-1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,413,-1,-1,2025-06-16,2025-06-17,2025-06-13,2025-06-16,Test,2,0,0.0,0转-1持有路径短段,0转-1持有,-0.0026927549813449136,True,0,0,2,0,0,0
Adj 1545,416,0,0,2025-07-28,2025-07-28,2025-07-25,2025-07-25,Test,1,1,1.0,退出反转切出的0段,+1退出到0,0.0,True,1,0,0,0,0,0
Adj 1545,418,0,0,2025-08-04,2025-08-04,2025-08-01,2025-08-01,Test,1,1,-1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,419,-1,-1,2025-08-05,2025-08-06,2025-08-04,2025-08-05,Test,2,0,0.0,0转-1持有路径短段,0转-1持有,-0.012604893574445608,True,0,0,2,0,0,0
Adj 1545,421,1,+1,2025-08-12,2025-08-12,2025-08-11,2025-08-11,Test,1,0,0.0,0转+1持有路径短段,0转+1持有,0.004753580817451919,True,0,0,0,1,0,0
Adj 1545,427,-1,-1,2025-09-19,2025-09-22,2025-09-18,2025-09-19,Test,2,0,0.0,0转-1持有路径短段,0转-1持有,-0.005596443285941444,True,0,0,2,0,0,0
Adj 1545,428,0,0,2025-09-23,2025-09-23,2025-09-22,2025-09-22,Test,1,-1,1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,1,1,0,0
Adj 1545,431,-1,-1,2025-10-16,2025-10-17,2025-10-15,2025-10-16,Test,2,0,0.0,0转-1持有路径短段,0转-1持有,0.024372044286394057,True,0,0,2,0,0,2
Adj 1545,432,0,0,2025-10-20,2025-10-21,2025-10-17,2025-10-20,Test,2,-1,1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,1
Adj 1545,437,-1,-1,2025-11-17,2025-11-18,2025-11-14,2025-11-17,Test,2,0,0.0,0转-1持有路径短段,0转-1持有,0.014899320188728193,True,0,0,2,0,0,0
Adj 1545,441,-1,-1,2025-12-11,2025-12-12,2025-12-10,2025-12-11,Test,2,0,1.0,0转-1持有路径短段,0转-1持有,0.006893843940214861,True,0,0,2,0,0,0
Adj 1545,449,0,0,2026-02-04,2026-02-04,2026-02-03,2026-02-03,Test,1,1,-1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,1,1,0,0
Adj 1545,450,-1,-1,2026-02-05,2026-02-05,2026-02-04,2026-02-04,Test,1,0,0.0,0转-1持有路径短段,0转-1持有,0.018145015519630325,True,0,0,1,0,0,0
Adj 1545,452,-1,-1,2026-03-03,2026-03-04,2026-03-02,2026-03-03,Test,2,0,0.0,0转-1持有路径短段,0转-1持有,0.029448925521919467,True,0,0,2,0,1,0
Adj 1545,456,1,+1,2026-03-26,2026-03-27,2026-03-25,2026-03-26,Test,2,0,-1.0,0转+1持有路径短段,0转+1持有,-0.012700092641427463,True,0,0,0,2,0,0
Adj 1545,459,1,+1,2026-04-15,2026-04-16,2026-04-14,2026-04-15,Test,2,0,0.0,0转+1持有路径短段,0转+1持有,0.0014015539945242406,True,0,0,0,2,0,0
Adj 1545,460,0,0,2026-04-17,2026-04-20,2026-04-16,2026-04-17,Test,2,1,1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,2,2,0,0
Adj 1545,463,1,+1,2026-05-11,2026-05-11,2026-05-08,2026-05-08,Test,1,0,0.0,基础+1短段,基础+1,0.009691243116188186,True,0,0,0,0,0,0
Adj 1545,464,0,0,2026-05-12,2026-05-12,2026-05-11,2026-05-11,Test,1,1,1.0,退出反转切出的0段,+1退出到0,0.0,True,1,0,0,0,0,0
Adj 1545,465,1,+1,2026-05-13,2026-05-13,2026-05-12,2026-05-12,Test,1,0,0.0,基础+1短段,基础+1,0.025431154794464117,True,0,0,0,0,0,0
Adj 1545,466,0,0,2026-05-14,2026-05-15,2026-05-13,2026-05-14,Test,2,1,1.0,退出反转切出的0段,+1退出到0,0.0,True,2,0,0,0,1,0
Adj 1545,467,1,+1,2026-05-18,2026-05-18,2026-05-15,2026-05-15,Test,1,0,-1.0,基础+1短段,基础+1,0.003666377303411794,True,0,0,0,0,1,1
Adj 1545,469,0,0,2026-05-25,2026-05-25,2026-05-22,2026-05-22,Test,1,-1,1.0,0转-1与0转+1同日冲突置0,零段同日冲突置0,0.0,True,0,0,1,1,0,1
Adj 1545,472,0,0,2026-06-04,2026-06-05,2026-06-03,2026-06-04,Test,2,-1,-1.0,基础0短段,基础0,0.0,True,0,0,0,0,0,0
Adj 1545,483,-1,-1,2026-08-24,2026-08-25,2026-08-21,2026-08-24,Test,2,0,,0转-1持有路径短段,0转-1持有,,False,0,0,2,0,0,1
