series,start_date,end_date,observations,final_nav,total_return_pct,annualized_return_pct,max_drawdown_pct,active_days,active_day_share_pct,directional_hit_rate_pct,mean_daily_directional_return_bp
Raw 1545 Three-State,2018-01-03,2026-08-14,2090,2.3657929357326277,136.57929357326276,10.517851295706615,-11.620939254968954,639,30.574162679425836,54.147104851330205,21.37391135731808
Adjusted 1545 (+4 Reversal),2018-01-03,2026-08-14,2090,3.4533857790160596,245.33857790160596,15.48086352080098,-8.800117225510128,1035,49.52153110047847,53.526570048309175,23.70421042527593
CSI500 Buy & Hold,2018-01-03,2026-08-14,2090,1.4477201184637245,44.77201184637245,4.390597730258916,-44.25771555705844,2090,100.0,51.48325358851674,2.142201523749878
