phase,n_labeled,n_signal,n_actual_extreme,true_positive,false_positive,false_negative,true_negative,coverage_pct,extreme_hits,precision_pct,recall_pct,f1_pct,accuracy_pct,base_rate_pct,lift,direction_accuracy_pct,signed_mean_bp,threshold_pct,side
Development,1215,67,122,16,51,106,1042,5.51440329218107,16,23.88059701492537,13.114754098360656,16.93121693121693,87.07818930041152,10.041152263374485,2.3782725715683877,61.19402985074627,39.12982895679654,1.6123639231893705,up
Validation,484,21,38,6,15,32,431,4.338842975206612,6,28.57142857142857,15.789473684210526,20.33898305084746,90.28925619834712,7.851239669421488,3.639097744360902,66.66666666666666,67.94246042054912,1.6123639231893705,up
Test,392,25,48,6,19,42,325,6.377551020408164,6,24.0,12.5,16.43835616438356,84.43877551020408,12.244897959183673,1.96,56.00000000000001,23.817265384692547,1.6123639231893705,up
