signal_key,signal_label,phase,event_days,realized_event_days,eligible_base_days,coverage_pct,directional_mean_bp,directional_median_bp,directional_win_rate_pct,eligible_directional_mean_bp,lift_vs_eligible_bp,eligible_directional_win_rate_pct
minus_exit,负向退出（-1→0）,Full,45,45,233,19.313304721030043,57.34899452706384,19.97574394678958,62.22222222222222,-20.179012905334055,77.5280074323979,48.927038626609445
minus_exit,负向退出（-1→0）,Development,26,26,134,19.402985074626866,40.55302541565924,27.58072525523736,65.38461538461539,-23.75501748686169,64.30804290252094,50.0
minus_exit,负向退出（-1→0）,Validation,11,11,63,17.46031746031746,98.46114711142212,-1.500892651761232,45.45454545454545,-14.53294076495288,112.994087876375,44.44444444444444
minus_exit,负向退出（-1→0）,Test,8,8,36,22.22222222222222,55.40668433563614,28.619053270557693,75.0,-16.74895543087045,72.1556397665066,52.77777777777778
plus_exit,正向退出（+1→0）,Full,62,62,406,15.270935960591132,46.97258643091582,25.64014740279008,51.61290322580645,-23.828771557422577,70.8013579883384,42.364532019704434
plus_exit,正向退出（+1→0）,Development,19,19,204,9.31372549019608,53.5342034366134,66.59531786717298,57.89473684210527,-21.52819068532202,75.06239412193543,40.68627450980392
plus_exit,正向退出（+1→0）,Validation,10,10,87,11.494252873563218,105.52682263171852,102.24128242103448,60.0,-29.962399341534724,135.48922197325325,48.27586206896552
plus_exit,正向退出（+1→0）,Test,33,33,115,28.695652173913043,25.45097779102851,-4.596346899421455,45.45454545454545,-23.26957921560307,48.72055700663158,40.869565217391305
