date,target_date,open,close,target_return,target_bp,phase,up_score,up_predicted,up_actual_extreme,up_score_excess,down_score,down_predicted,down_actual_extreme,down_score_excess,conflict,marker
2018-02-05,2018-02-06,5927.7367,5998.2236,-0.0069826313304367504,-69.8263133043675,Development,0.5161724984603258,0,0,-0.29733897690959177,0.6832030683229575,0,0,-1.1761565183787681e-05,0,none
2018-02-06,2018-02-07,5886.3455,5704.2641,-0.013655416590820257,-136.55416590820258,Development,0.5429092548251215,0,0,-0.270602220544796,0.7793968899801037,1,0,0.0961820600919624,0,down
2018-02-07,2018-02-08,5805.965,5711.3322,-0.018997599882190075,-189.97599882190076,Development,0.9026539744869677,1,0,0.08914249911705019,0.7512064093573141,1,1,0.06799157946917278,1,conflict
2018-02-08,2018-02-09,5695.6656,5766.4797,-0.011184873634435322,-111.84873634435321,Development,0.6509269267020744,0,0,-0.1625845486678431,0.7683205667012695,1,0,0.08510573681312816,0,down
2018-02-09,2018-02-12,5631.9603,5554.8974,-0.008922115448860679,-89.22115448860679,Development,0.5253497593698777,0,0,-0.2881617160000398,0.7506453191729477,1,0,0.06743048928480644,0,down
2018-02-12,2018-02-13,5581.7113,5699.0979,0.02677238072130317,267.7238072130317,Development,0.7513897327236682,0,1,-0.06212174264624937,0.7231961133793563,1,0,0.03998128349121499,0,down
2018-02-13,2018-02-14,5731.147,5736.9505,0.0018734120761514372,18.734120761514372,Development,0.4846729951230173,0,0,-0.3288384802469002,0.6920481994443606,1,0,0.008833369556219273,0,down
2018-02-14,2018-02-22,5741.8838,5754.8344,0.010286780794832584,102.86780794832583,Development,0.4878811558093782,0,0,-0.32563031956053934,0.6608106846781072,0,0,-0.022404145210034088,0,none
2018-02-22,2018-02-23,5800.9493,5875.7272,0.013233454738175388,132.33454738175388,Development,0.4715315942387825,0,0,-0.34197988113113503,0.6435686615683882,0,0,-0.039646168319753095,0,none
2018-02-23,2018-02-26,5877.7159,5897.6765,0.008286365116762395,82.86365116762396,Development,0.45757644676567644,0,0,-0.3559350286042411,0.5953741470663422,0,0,-0.08784068282179913,0,none
2018-02-26,2018-02-27,5926.4208,6029.6795,0.016782878461819806,167.82878461819806,Development,0.47154384152881,0,1,-0.3419676338411075,0.5135030219773774,0,0,-0.1697118079107639,0,none
2018-02-27,2018-02-28,6025.8832,6010.5573,-0.009622738787900764,-96.22738787900764,Development,0.44606493712995077,0,0,-0.36744653823996676,0.4968828062033386,0,0,-0.18633202368480273,0,none
2018-02-28,2018-03-01,5967.8977,6023.677,0.0032610143434594896,32.610143434594896,Development,0.48932946449116493,0,0,-0.3241820108787526,0.4719155234776895,0,0,-0.2112993064104518,0,none
2018-03-01,2018-03-02,5987.3591,6090.2247,0.01104283188893751,110.4283188893751,Development,0.47821033798556833,0,0,-0.3353011373843492,0.5150997663707936,0,0,-0.16811506351734773,0,none
2018-03-02,2018-03-05,6053.4765,6056.3354,0.0021816389309514683,21.816389309514683,Development,0.4240884209874269,0,0,-0.38942305438249064,0.5349115655220366,0,0,-0.14830326436610475,0,none
2018-03-05,2018-03-06,6066.683,6064.0983,0.0017613578952451192,17.613578952451192,Development,0.5454816350298883,0,0,-0.2680298403400292,0.5977808358835367,0,0,-0.08543399400460461,0,none
2018-03-06,2018-03-07,6077.3686,6145.5768,0.009309637727091369,93.09637727091369,Development,0.49920804638601346,0,0,-0.31430342898390407,0.4504781954809627,0,0,-0.23273663440717862,0,none
2018-03-07,2018-03-08,6133.9467,6086.4874,-0.00982654446606146,-98.2654446606146,Development,0.4164052113657421,0,0,-0.3971062640041754,0.46328123282466505,0,0,-0.21993359706347626,0,none
2018-03-08,2018-03-09,6073.6712,6131.5142,0.009459451805688746,94.59451805688745,Development,0.6752185959765645,0,0,-0.138292879393353,0.42030600189786205,0,0,-0.26290882799027926,0,none
2018-03-09,2018-03-12,6131.1248,6206.9754,0.01625931672439629,162.59316724396288,Development,0.42209453672427527,0,1,-0.39141693864564225,0.4524445830200206,0,0,-0.2307702468681207,0,none
2018-03-12,2018-03-13,6230.8127,6295.7776,0.008825381639220087,88.25381639220086,Development,0.43602133850607133,0,0,-0.3774901368638462,0.4794030689350946,0,0,-0.2038117609530467,0,none
2018-03-13,2018-03-14,6285.802,6254.1457,-0.008202644626731814,-82.02644626731814,Development,0.4119938490647986,0,0,-0.40151762630511895,0.4794025507358494,0,0,-0.2038122791522919,0,none
2018-03-14,2018-03-15,6234.2418,6189.317,-0.009847035448641073,-98.47035448641073,Development,0.5162942749954995,0,0,-0.297217200374418,0.4708815054380583,0,0,-0.21233332445008302,0,none
2018-03-15,2018-03-16,6172.853,6180.1108,0.0013815329799689025,13.815329799689025,Development,0.7029365997736146,0,0,-0.11057487559630297,0.4496425664742524,0,0,-0.23357226341388893,0,none
2018-03-16,2018-03-19,6181.381,6146.3058,-0.006286782840274618,-62.867828402746184,Development,0.4849548081838865,0,0,-0.32855666718603105,0.500282686448984,0,0,-0.1829321434391573,0,none
2018-03-19,2018-03-20,6142.52,6153.8339,-0.00535854991111151,-53.5854991111151,Development,0.5309664359920817,0,0,-0.2825450393778358,0.5080749508193372,0,0,-0.17513987906880413,0,none
2018-03-20,2018-03-21,6109.605,6173.6984,0.011867215638327044,118.67215638327045,Development,0.4938029394974859,0,0,-0.31970853587243164,0.5502868796540663,0,0,-0.132927950234075,0,none
2018-03-21,2018-03-22,6182.109,6129.2042,-0.008421203831896262,-84.21203831896263,Development,0.40888824318392875,0,0,-0.4046232321859888,0.6303712107576336,0,0,-0.052843619130507724,0,none
2018-03-22,2018-03-23,6130.0482,6101.2276,-0.035347177204903546,-353.47177204903545,Development,0.8184116096329725,1,0,0.004900134263055023,0.6036343087685793,0,1,-0.07958052111956204,0,up
2018-03-23,2018-03-26,5913.3683,5787.1523,-0.03348616050179054,-334.8616050179054,Development,0.5623897334405948,0,0,-0.2511217419293227,0.5472011844235631,0,1,-0.13601364546457817,0,none
2018-03-26,2018-03-27,5715.3523,5902.9588,0.04214676320128152,421.4676320128152,Development,0.9061330951247888,1,1,0.09262161975487126,0.4884782234538721,0,0,-0.1947366064342692,0,up
