phase,n_labeled,n_signal,n_actual_extreme,true_positive,false_positive,false_negative,true_negative,coverage_pct,extreme_hits,precision_pct,recall_pct,f1_pct,accuracy_pct,base_rate_pct,lift,direction_accuracy_pct,signed_mean_bp,threshold_pct,side
Development,1215,91,122,18,73,104,1020,7.489711934156379,18,19.78021978021978,14.754098360655737,16.90140845070422,85.4320987654321,10.041152263374485,1.9699153305710684,51.64835164835166,10.057859168843258,-1.690113147605392,down
Validation,484,26,42,6,20,36,422,5.371900826446281,6,23.076923076923077,14.285714285714285,17.647058823529413,88.42975206611571,8.677685950413224,2.659340659340659,61.53846153846154,40.14112961471805,-1.690113147605392,down
Test,392,27,39,6,21,33,332,6.887755102040815,6,22.22222222222222,15.384615384615385,18.181818181818183,86.22448979591837,9.948979591836734,2.2336182336182335,44.44444444444444,23.849788882684262,-1.690113147605392,down
