date,target_date,open,high,low,close,volume,amount,prev_close,phase,target_return,target_bp,score,score_threshold,score_excess,predicted,actual_extreme,correct,direction_correct,signed_return_bp,indicator_1,indicator_2,indicator_3,indicator_4,prediction_label
2018-01-02,2018-01-03,6263.1506,6332.6089,6258.1563,6332.2269,7303223500.0,88153985315.5,6250.8207,Development,0.010948052247059081,109.48052247059081,0.3655417975018648,0.8135114753699175,-0.44796967786805275,0,0,0,0,109.48052247059081,0.36824445010597284,0.28436769655526306,0.4992055030285207,0.31806574227553636,
2018-01-03,2018-01-04,6331.7199,6391.9799,6324.2604,6388.2533,8393674500.0,103454686367.8,6332.2269,Development,0.007667205872451843,76.67205872451844,0.36651984859498543,0.8135114753699175,-0.4469916267749321,0,0,0,0,76.67205872451844,0.37268046170500624,0.2797063505481224,0.5325970757892152,0.27699597992613545,
2018-01-04,2018-01-05,6380.2665,6418.256,6375.5134,6417.535,8054369000.0,102929659395.6,6388.2533,Development,0.005407187928592183,54.07187928592183,0.3419029554209866,0.8135114753699175,-0.47160851994893094,0,0,0,0,54.07187928592183,0.3940947799067992,0.28976199337660163,0.3371300766030443,0.3288047203409791,
2018-01-05,2018-01-08,6414.7658,6435.854,6397.2929,6417.2537,8158101800.0,97642297444.1,6417.535,Development,-0.00013913212544713893,-1.3913212544713893,0.32560123975103206,0.8135114753699175,-0.48791023561888547,0,0,0,0,-1.3913212544713893,0.35795231418890694,0.2765188264510126,0.35799056231008336,0.2982141113268865,
2018-01-08,2018-01-09,6413.8733,6446.7879,6393.8819,6446.1818,8947692900.0,106389590369.8,6417.2537,Development,0.004336038256321784,43.36038256321784,0.3622923111982024,0.8135114753699175,-0.45121916417171515,0,0,0,0,43.36038256321784,0.351313915959071,0.27562602587904544,0.4198082780320699,0.4582029459933133,
2018-01-09,2018-01-10,6441.6841,6449.0346,6425.0274,6445.7462,7557321700.0,92837783215.8,6446.1818,Development,0.00027582849025442613,2.7582849025442613,0.3318912016993019,0.8135114753699175,-0.4816202736706156,0,0,0,0,2.7582849025442613,0.362864108303642,0.27694246430097125,0.3846768540927645,0.28965379357114673,
2018-01-10,2018-01-11,6443.4609,6444.3088,6361.0948,6405.9395,8096697400.0,98938304429.0,6445.7462,Development,-0.008001414271017082,-80.01414271017082,0.329489909885058,0.8135114753699175,-0.48402156548485953,0,0,0,0,-80.01414271017082,0.34904346044217827,0.2777455875611535,0.382559273151753,0.30552080452630465,
2018-01-11,2018-01-12,6391.9041,6432.4398,6371.5436,6425.9401,7877007100.0,91569210697.9,6405.9395,Development,0.004212078213125858,42.12078213125858,0.6072295353699708,0.8135114753699175,-0.2062819399999467,0,0,0,0,42.12078213125858,0.6188591401322371,0.49989414170905777,0.5789641393880667,0.8092184836318709,
2018-01-12,2018-01-15,6418.8273,6435.1946,6387.7824,6399.3737,7783455800.0,89777057637.5,6425.9401,Development,-0.004278211379826313,-42.78211379826313,0.38506347677807873,0.8135114753699175,-0.4284479985918388,0,0,0,0,-42.78211379826313,0.3743859925845044,0.3246535581176833,0.4528184710922144,0.4203073711631797,
2018-01-15,2018-01-16,6391.3662,6392.5174,6236.5629,6253.3759,9147403200.0,110512921326.1,6399.3737,Development,-0.022876673847916917,-228.76673847916916,0.4759519191704786,0.8135114753699175,-0.33755955619943895,0,0,0,0,-228.76673847916916,0.46124132424688735,0.38210542023750665,0.5307380177120515,0.5961124210211477,
2018-01-16,2018-01-17,6245.153,6301.4047,6245.1129,6301.1327,7916973400.0,96364861655.1,6253.3759,Development,0.00686354681782797,68.6354681782797,0.9105461231294205,0.8135114753699175,0.09703464775950299,1,0,0,1,68.6354681782797,0.9712166875065951,0.9442798242498087,0.7515843215726866,0.9411596740077532,预测大涨
