date,target_date,open,high,low,close,volume,amount,prev_close,phase,target_return,target_bp,score,score_threshold,score_excess,predicted,actual_extreme,correct,direction_correct,signed_return_bp,indicator_1,indicator_2,indicator_3,indicator_4,prediction_label
2018-01-02,2018-01-03,6263.1506,6332.6089,6258.1563,6332.2269,7303223500.0,88153985315.5,6250.8207,Development,0.010948052247059081,109.48052247059081,0.5061426417836834,0.6832148298881413,-0.1770721881044579,0,0,0,0,-109.48052247059081,0.5458080971675704,0.4099672059301729,0.4659419913775419,0.6454364561450111,
2018-01-03,2018-01-04,6331.7199,6391.9799,6324.2604,6388.2533,8393674500.0,103454686367.8,6332.2269,Development,0.007667205872451843,76.67205872451844,0.47855836512974703,0.6832148298881413,-0.20465646475839427,0,0,0,0,-76.67205872451844,0.5403401494308432,0.3183628723578966,0.48034874547573014,0.6251524128649288,
2018-01-04,2018-01-05,6380.2665,6418.256,6375.5134,6417.535,8054369000.0,102929659395.6,6388.2533,Development,0.005407187928592183,54.07187928592183,0.4815869262934413,0.6832148298881413,-0.2016279035947,0,0,0,0,-54.07187928592183,0.5746009349840293,0.2749890944134143,0.4917624576857098,0.6314870079516196,
2018-01-05,2018-01-08,6414.7658,6435.854,6397.2929,6417.2537,8158101800.0,97642297444.1,6417.535,Development,-0.00013913212544713893,-1.3913212544713893,0.4956451992069755,0.6832148298881413,-0.18756963068116583,0,0,0,0,1.3913212544713893,0.5900109568071441,0.29178507070720905,0.5125335547754483,0.6286517002745582,
2018-01-08,2018-01-09,6413.8733,6446.7879,6393.8819,6446.1818,8947692900.0,106389590369.8,6417.2537,Development,0.004336038256321784,43.36038256321784,0.474185249933589,0.6832148298881413,-0.2090295799545523,0,0,0,0,-43.36038256321784,0.5776257819153007,0.2194056555843963,0.5271365555786564,0.6274303643215712,
2018-01-09,2018-01-10,6441.6841,6449.0346,6425.0274,6445.7462,7557321700.0,92837783215.8,6446.1818,Development,0.00027582849025442613,2.7582849025442613,0.4989001532912214,0.6832148298881413,-0.1843146765969199,0,0,0,0,-2.7582849025442613,0.6309798775051383,0.24528608430163,0.5269832963393335,0.6234410383772788,
2018-01-10,2018-01-11,6443.4609,6444.3088,6361.0948,6405.9395,8096697400.0,98938304429.0,6445.7462,Development,-0.008001414271017082,-80.01414271017082,0.5031087490458804,0.6832148298881413,-0.18010608084226087,0,0,0,0,80.01414271017082,0.6578420835939548,0.26599629636045224,0.5061352543770927,0.5850857605003051,
2018-01-11,2018-01-12,6391.9041,6432.4398,6371.5436,6425.9401,7877007100.0,91569210697.9,6405.9395,Development,0.004212078213125858,42.12078213125858,0.47552982659884135,0.6832148298881413,-0.20768500328929995,0,0,0,0,-42.12078213125858,0.6539112861587035,0.19210093470477363,0.47567830057460925,0.5922656341320718,
2018-01-12,2018-01-15,6418.8273,6435.1946,6387.7824,6399.3737,7783455800.0,89777057637.5,6425.9401,Development,-0.004278211379826313,-42.78211379826313,0.5309836466559039,0.6832148298881413,-0.1522311832322374,0,0,0,0,42.78211379826313,0.7368014689588287,0.2946011642233794,0.4758154523056339,0.5831463857507275,
2018-01-15,2018-01-16,6391.3662,6392.5174,6236.5629,6253.3759,9147403200.0,110512921326.1,6399.3737,Development,-0.022876673847916917,-228.76673847916916,0.49263763778193936,0.6832148298881413,-0.19057719210620194,0,1,0,0,228.76673847916916,0.6860151839641347,0.23155796685989286,0.46785132796809903,0.5726809522523855,
