signal_key,signal_label,version,candidate_id,expected_state,event_days,eligible_base_days,coverage_pct,directional_mean_bp,directional_median_bp,directional_p05_bp,directional_p95_bp,directional_win_rate_pct,mean_ci_low_bp,mean_ci_high_bp,eligible_directional_mean_bp,signal_lift_vs_eligible_bp,eligible_directional_win_rate_pct
minus_exit,负向退出（-1→0）,V55,score_02_q68_a1_c2_cd0,-1,45,233,19.313304721030043,57.34899452706384,19.97574394678958,-208.265952919932,421.5065176011174,62.22222222222222,-0.9848741642351064,120.92295706378884,-20.179012905334055,77.5280074323979,48.927038626609445
plus_exit,正向退出（+1→0）,V80,score_02_q90_a5_c1_cd0,1,62,406,15.270935960591132,46.97258643091582,25.64014740279008,-178.75056784395193,329.80558949495094,51.61290322580645,6.163501007953564,86.50083419907341,-23.828771557422577,70.8013579883384,42.364532019704434
