signal_key,signal_label,horizon_days,event_n,event_mean_directional_bp,event_median_directional_bp,event_win_rate_pct,event_p25_bp,event_p75_bp,eligible_n,eligible_mean_directional_bp,eligible_win_rate_pct
minus_exit,负向退出（-1→0）,1,45,57.348994527063844,19.97574394678958,62.22222222222222,-39.05090917984744,126.12603604075234,233,-20.179012905334055,48.927038626609445
minus_exit,负向退出（-1→0）,2,45,121.07544265479663,48.74079470046144,62.22222222222222,-60.892807673249564,189.70949552641113,233,-24.786581247879038,45.06437768240343
minus_exit,负向退出（-1→0）,3,45,128.7924208236437,90.68149978048945,62.22222222222222,-68.12995348957296,204.29023630581966,233,-23.490238432598982,48.06866952789699
minus_exit,负向退出（-1→0）,5,45,95.46066246303492,41.85724278084946,55.55555555555556,-150.90237789319949,245.52599814339436,233,-4.945802963565348,48.497854077253216
minus_exit,负向退出（-1→0）,10,44,152.9179671157867,134.0889634790443,61.36363636363637,-85.08558734138944,285.85727785072237,232,-6.056462422812763,45.258620689655174
plus_exit,正向退出（+1→0）,1,62,46.97258643091582,25.64014740279008,51.61290322580645,-85.92412402931903,148.94539424943065,406,-23.828771557422574,42.364532019704434
plus_exit,正向退出（+1→0）,2,62,82.13066087666061,54.73359893083951,59.67741935483871,-93.91187690959313,198.37660006493786,406,-41.43939500196193,40.14778325123153
plus_exit,正向退出（+1→0）,3,62,106.0353594041036,87.10265593619037,67.74193548387096,-49.51746238411048,283.64948070822044,406,-58.27150646019404,39.90147783251231
plus_exit,正向退出（+1→0）,5,62,104.07318841369236,117.81143192640397,61.29032258064516,-52.32198200967486,364.41029660053135,406,-74.76428184741957,38.17733990147783
plus_exit,正向退出（+1→0）,10,62,177.53819826978537,47.593290968093726,59.67741935483871,-120.20037463936207,453.36704227146726,406,-108.78397010486944,38.669950738916256
minus_entry,零段向下（0→-1）,1,136,27.428764334792817,19.093103140784827,55.88235294117647,-68.22831551171471,98.85333312982885,1450,0.1840027318844576,49.51724137931034
minus_entry,零段向下（0→-1）,2,136,37.66797071568833,24.292076405076358,61.029411764705884,-82.56826571576003,143.93096404699295,1449,1.1425083167650165,49.82746721877157
minus_entry,零段向下（0→-1）,3,136,48.82543260642728,18.903438132753525,52.94117647058824,-94.66347349048554,183.35666361667197,1448,2.8973028914660506,49.65469613259669
minus_entry,零段向下（0→-1）,5,135,35.04781385517287,44.37299945840301,54.81481481481482,-156.8742172645965,200.71460956110843,1446,4.239487239675373,49.100968188105114
minus_entry,零段向下（0→-1）,10,135,-2.782578207164868,15.103733448031953,51.85185185185185,-236.65668126912175,223.01345038200805,1442,0.325935164115068,49.86130374479889
plus_entry,零段向上（0→+1）,1,86,18.80117738607102,6.411909158883233,52.32558139534884,-81.6523937052957,104.61363255778122,1450,-0.1840027318844576,50.48275862068966
plus_entry,零段向上（0→+1）,2,86,15.611521118988737,20.25524026439518,54.65116279069767,-125.66006661089423,164.98797634899475,1449,-1.1425083167650165,50.172532781228426
plus_entry,零段向上（0→+1）,3,86,25.416726535281644,42.66431717338981,58.139534883720934,-144.41598520450822,181.46805973129676,1448,-2.8973028914660506,50.34530386740331
plus_entry,零段向上（0→+1）,5,86,73.62949053754198,91.2272909056866,61.627906976744185,-173.77891159065572,212.66442777028882,1446,-4.239487239675373,50.89903181189488
plus_entry,零段向上（0→+1）,10,86,76.48170959512701,53.38432379821123,55.81395348837209,-159.33400620290638,335.4984329325234,1442,-0.325935164115068,50.13869625520111
