signal_key,signal_label,event_days,run_count,mean_run_length_days,median_run_length_days,max_run_length_days,single_day_run_share_pct,run_mean_directional_bp,run_mean_ci_low_bp,run_mean_ci_high_bp,run_positive_share_pct,first_event_days,first_event_mean_bp,first_event_win_rate_pct,repeat_event_days,repeat_event_mean_bp,repeat_event_win_rate_pct
minus_exit,负向退出（-1→0）,45,20,2.25,2.0,6,45.0,105.28959617942803,23.74871522436651,217.2614045042423,70.0,20,44.07974530944447,50.0,25,67.96439390115933,72.0
plus_exit,正向退出（+1→0）,62,21,2.9523809523809526,3.0,8,33.33333333333333,45.18111000890819,-1.4908225222466314,91.34315100658152,57.14285714285714,21,58.05288871753277,57.14285714285714,41,41.29730964996567,48.78048780487805
minus_entry,零段向下（0→-1）,136,136,1.0,1.0,1,100.0,27.428764334792817,3.201725496710103,52.108241747286264,55.88235294117647,136,27.428764334792817,55.88235294117647,0,,
plus_entry,零段向上（0→+1）,86,86,1.0,1.0,1,100.0,18.801177386071018,-13.852013154201856,52.459187351701054,52.32558139534884,86,18.801177386071018,52.32558139534884,0,,
