series,series_label,state,state_label,days,mean_raw_h1_bp,median_raw_h1_bp,p05_raw_h1_bp,p95_raw_h1_bp,mean_directional_h1_bp,median_directional_h1_bp,directional_win_rate_pct,directional_loss_gt_3pct
base,基础三状态,-1,-1,233,-20.179012905334055,-8.404040757561404,-329.90294089373657,220.2181592905132,20.179012905334055,8.404040757561404,51.072961373390555,5
base,基础三状态,0,0,1450,-0.1840027318844576,1.6731309586193177,-233.19062584401382,211.55726103221275,-0.1840027318844576,1.6731309586193177,50.48275862068966,38
base,基础三状态,1,+1,406,23.828771557422574,17.866966829640507,-202.57923402323325,238.54789996855587,23.828771557422574,17.866966829640507,57.635467980295566,9
reversal,仅退出信号,-1,-1,188,-38.73624872691865,-23.857225951787186,-338.3310557313829,193.80151810467007,38.73624872691865,23.857225951787186,54.25531914893617,1
reversal,仅退出信号,0,0,1557,-0.38432855891546,2.268872258679444,-237.1800512283051,214.8541489288964,-0.38432855891546,2.268872258679444,50.73859987154785,44
reversal,仅退出信号,1,+1,344,36.5894814274138,29.31641770186122,-168.66729802158017,254.46523188869196,36.5894814274138,29.31641770186122,59.30232558139535,4
transfer,仅零段转移,-1,-1,366,-23.24184918790381,-16.966743754009972,-323.0019562378214,203.48578077824197,23.24184918790381,16.966743754009972,53.00546448087432,6
transfer,仅零段转移,0,0,1234,1.6171770062346245,3.1314059459730537,-222.29865193510622,208.34963045462317,1.6171770062346245,3.1314059459730537,51.13452188006483,29
transfer,仅零段转移,1,+1,489,22.938420575086987,16.3181796345091,-204.65606122828504,254.42003072867703,22.938420575086987,16.3181796345091,56.646216768916155,10
combined,四信号合并,-1,-1,321,-34.53963101710488,-22.153989645182783,-325.9521058946391,194.69520162055164,34.53963101710488,22.153989645182783,55.140186915887845,2
combined,四信号合并,0,0,1341,1.2408656381018783,3.786563735790338,-230.6188718151092,214.20762423375982,1.2408656381018783,3.786563735790338,51.37956748695004,35
combined,四信号合并,1,+1,427,33.0894333019539,24.91188365412844,-178.08622725858757,261.6288329608031,33.0894333019539,24.91188365412844,57.84543325526932,5
