signal_key,signal_label,position_bucket,event_days,realized_event_days,mean_signal_position_pct,mean_days_from_segment_start,mean_days_to_segment_end,directional_mean_bp,directional_median_bp,directional_p25_bp,directional_p75_bp,directional_win_rate_pct,directional_loss_gt_3pct_pct
minus_exit,负向退出（-1→0）,前段（≤1/3）,0,0,,,,,,,,,
minus_exit,负向退出（-1→0）,中段（1/3-2/3）,5,5,63.33333333333333,5.2,3.6,-80.03962159972255,-8.172025727257726,-197.30836010691698,3.876080289673123,40.0,0.0
minus_exit,负向退出（-1→0）,后段（>2/3）,40,40,90.99702380952382,5.975,0.75,74.52257154291215,27.58072525523736,-32.911310938725514,139.4635366018848,65.0,2.5
plus_exit,正向退出（+1→0）,前段（≤1/3）,2,2,30.645161290322584,8.5,21.5,-97.08573369909934,-97.08573369909934,-122.02619991541874,-72.14526748277994,0.0,0.0
plus_exit,正向退出（+1→0）,中段（1/3-2/3）,22,22,53.333592523475225,7.636363636363637,8.454545454545455,18.045053210123548,-22.54451639229105,-96.82213805840445,147.9013350524916,40.909090909090914,0.0
plus_exit,正向退出（+1→0）,后段（>2/3）,38,38,86.13959196118638,9.605263157894736,1.6578947368421053,71.30212251295424,73.33210800204937,-28.084247230891755,164.6619005260483,60.526315789473685,0.0
minus_entry,零段向下（0→-1）,前段（≤1/3）,47,47,15.39349480246907,5.25531914893617,33.97872340425532,7.555978137118573,7.365796142951853,-75.10284673298173,76.98444649200832,51.06382978723404,2.127659574468085
minus_entry,零段向下（0→-1）,中段（1/3-2/3）,43,43,50.49193073713905,19.232558139534884,18.930232558139537,30.72307532868173,25.46140007663178,-35.7225918921622,93.94332947687266,65.11627906976744,0.0
minus_entry,零段向下（0→-1）,后段（>2/3）,46,46,86.74244139747343,25.891304347826086,5.0,44.654102998998596,22.75864730513777,-80.5574034205292,130.177472888805,52.17391304347826,0.0
plus_entry,零段向上（0→+1）,前段（≤1/3）,33,33,14.544950583903564,2.8484848484848486,23.636363636363637,-4.371399303029208,-27.428508540363605,-149.89547823462846,121.82639355500902,42.42424242424242,3.0303030303030303
plus_entry,零段向上（0→+1）,中段（1/3-2/3）,27,27,50.37602894825357,14.666666666666666,15.444444444444445,40.69024035304029,34.90194702964189,-32.306746308726765,135.99284077160823,59.25925925925925,0.0
plus_entry,零段向上（0→+1）,后段（>2/3）,26,26,85.45654217590672,30.96153846153846,5.961538461538462,25.48157471807631,6.411909158883233,-48.921653200568734,87.0885481088668,57.692307692307686,0.0
