series,start_date,end_date,observations,final_nav,total_return_pct,annualized_additive_return_pct,annualized_volatility_pct,sharpe,max_drawdown_pct,active_days,winning_directional_days,directional_win_rate_pct,daily_win_rate_pct
Raw 1545,2018-01-03,2026-08-21,2095,2.4376191259256403,143.76191259256404,17.292602373902685,15.052685296147544,1.1488051489609237,-11.699579584923203,639,353,55.24256651017214,16.84964200477327
Adj 1545 (+4 Reversal),2018-01-03,2026-08-21,2095,3.831570035403436,283.15700354034357,34.0599355093874,17.784169934437788,1.915182751567884,-10.949236836625985,1088,608,55.88235294117647,29.02147971360382
CSI500 Buy & Hold,2018-01-03,2026-08-21,2095,1.4550222454811135,45.50222454811135,5.473298609128429,24.034090360143463,0.22773063290986806,-45.905210327747234,2095,1083,51.6945107398568,51.6945107398568
