signal_key,signal_label,source,model,action,expected_base_state,event_days,invalid_signal_days,eligible_base_days,coverage_pct,realized_event_days,raw_o2o_mean_bp,raw_o2o_median_bp,directional_mean_bp,directional_median_bp,directional_p05_bp,directional_p95_bp,directional_win_rate_pct,directional_win_ci_low_pct,directional_win_ci_high_pct,mean_ci_low_bp,mean_ci_high_bp,eligible_directional_mean_bp,signal_lift_vs_eligible_bp,eligible_directional_win_rate_pct
minus_exit,负向退出（-1→0）,1545反转预测,V55 / inductive conformal martingale,退出负向持仓,-1,45,0,233,19.313304721030043,45,57.348994527063844,19.97574394678958,57.348994527063844,19.97574394678958,-208.265952919932,421.5065176011174,62.22222222222222,47.62993448088954,74.8919153278621,-0.9848741642351064,120.92295706378883,-20.179012905334055,77.5280074323979,48.927038626609445
plus_exit,正向退出（+1→0）,1545反转预测,V80 / catch22 dynamics classifier,退出正向持仓,1,62,0,406,15.270935960591133,62,-46.97258643091582,-25.64014740279008,46.97258643091582,25.64014740279008,-178.75056784395193,329.80558949495094,51.61290322580645,39.447459605660676,63.59014016175426,6.163501007953564,86.50083419907341,-23.828771557422574,70.8013579883384,42.364532019704434
minus_entry,零段向下（0→-1）,长0两侧转移预测,V38 / volume breakout,从中性进入负向,0,136,0,1452,9.366391184573002,136,-27.428764334792817,-19.093103140784827,27.428764334792817,19.093103140784827,-160.66850703775282,307.8285182187623,55.88235294117647,47.48967441011687,63.95185382831157,3.0904819081100054,52.639103201806634,0.1840027318844576,27.24476160290836,49.51724137931034
plus_entry,零段向上（0→+1）,长0两侧转移预测,V57 / recurrence quantification,从中性进入正向,0,86,0,1452,5.922865013774105,86,18.80117738607102,6.411909158883233,18.80117738607102,6.411909158883233,-235.4632023223896,300.9009278731883,52.32558139534884,41.8978267940123,62.554460660472635,-13.302776651273778,52.570592802687706,-0.1840027318844576,18.98518011795548,50.48275862068966
