series,run_id,state,start_date,end_date,year,phase,holding_days,segment_return,return_available,source_detail,zero_transfer_days,aligned_segment_return,is_directional
仅零段反转（0→-1/0→+1）,18,-1,2018-04-26,2018-05-03,2018,Train,4,0.010001638198241514,True,0转-1持有,4,0.010001638198241514,True
仅零段反转（0→-1/0→+1）,19,0,2018-05-04,2018-05-11,2018,Train,6,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,20,1,2018-05-14,2018-05-15,2018,Train,2,0.0033991652443225995,True,0转+1持有,2,0.0033991652443225995,True
仅零段反转（0→-1/0→+1）,21,0,2018-05-16,2018-05-30,2018,Train,11,0.0,True,零段同日冲突置0；基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,22,-1,2018-05-31,2018-06-01,2018,Train,2,0.005230286418030916,True,0转-1持有,2,0.005230286418030916,True
仅零段反转（0→-1/0→+1）,23,0,2018-06-04,2018-06-05,2018,Train,2,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,24,1,2018-06-06,2018-06-08,2018,Train,3,-0.019654438978525035,True,0转+1持有,3,-0.019654438978525035,True
仅零段反转（0→-1/0→+1）,25,0,2018-06-11,2018-06-15,2018,Train,5,0.0,True,零段同日冲突置0；基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,26,-1,2018-06-19,2018-06-20,2018,Train,2,0.03632225991229587,True,0转-1持有,2,0.03632225991229587,True
仅零段反转（0→-1/0→+1）,27,0,2018-06-21,2018-06-29,2018,Train,7,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,28,1,2018-07-02,2018-07-05,2018,Train,4,-0.04554497410209979,True,0转+1持有,4,-0.04554497410209979,True
仅零段反转（0→-1/0→+1）,29,0,2018-07-06,2018-07-17,2018,Train,8,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,30,1,2018-07-18,2018-07-25,2018,Train,6,0.020998827968526368,True,0转+1持有,6,0.020998827968526368,True
仅零段反转（0→-1/0→+1）,31,0,2018-07-26,2018-07-26,2018,Train,1,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,32,1,2018-07-27,2018-08-02,2018,Train,5,-0.055530811980927464,True,基础+1,0,-0.055530811980927464,True
仅零段反转（0→-1/0→+1）,33,-1,2018-08-03,2018-08-06,2018,Train,2,0.029631908650936456,True,0转-1持有,2,0.029631908650936456,True
仅零段反转（0→-1/0→+1）,34,0,2018-08-07,2018-08-07,2018,Train,1,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,35,1,2018-08-08,2018-08-10,2018,Train,3,0.008706258031750513,True,0转+1持有,3,0.008706258031750513,True
仅零段反转（0→-1/0→+1）,36,0,2018-08-13,2018-08-21,2018,Train,7,0.0,True,零段同日冲突置0；基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,37,-1,2018-08-22,2018-08-30,2018,Train,7,0.004077509410887248,True,0转-1持有；基础-1,2,0.004077509410887248,True
仅零段反转（0→-1/0→+1）,38,0,2018-08-31,2018-09-04,2018,Train,3,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,39,1,2018-09-05,2018-09-10,2018,Train,4,-0.0360865654102448,True,0转+1持有,4,-0.0360865654102448,True
仅零段反转（0→-1/0→+1）,40,0,2018-09-11,2018-10-11,2018,Train,17,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,41,-1,2018-10-12,2018-10-19,2018,Train,6,0.021778219841656066,True,0转-1持有；基础-1,1,0.021778219841656066,True
仅零段反转（0→-1/0→+1）,42,0,2018-10-22,2018-10-24,2018,Train,3,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,43,1,2018-10-25,2018-11-01,2018,Train,6,0.0583575412470565,True,0转+1持有,6,0.0583575412470565,True
仅零段反转（0→-1/0→+1）,44,0,2018-11-02,2018-11-19,2018,Train,12,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,45,1,2018-11-20,2018-11-26,2018,Train,5,-0.05088213303382105,True,基础+1,0,-0.05088213303382105,True
仅零段反转（0→-1/0→+1）,46,0,2018-11-27,2018-11-27,2018,Train,1,0.0,True,基础0,0,0.0,False
