Year,Market Type,S-F Div,Axis Std,Raw %,Adj %,Idx %,Raw Ex,Adj Ex
2018,Range-bound,,,-5.99414729395151,6.498452908600216,-38.74557895161795,32.75143165766644,45.24403186021817
2019,Range-bound,,,44.06675044139593,71.37610904387776,26.477225403368614,17.58952503802731,44.89888364050915
2020,Range-bound,,,9.357475509587598,24.65433272760375,22.590672684749492,-13.233197175161893,2.06366004285427
2021,Range-bound,,,6.589650694134733,9.82741291119386,15.897308980343992,-9.307658286209259,-6.069896069150123
2022,Range-bound,,,21.72950307928468,28.805314429232265,-20.990004724908186,42.71950780419287,49.79531915414044
2023,Range-bound,-0.07394562508198871,0.2582803637482114,6.642018855727944,4.482964435821364,-6.531712246373825,13.17373110210177,11.014676682195187
2024,High volatility,0.0382764331627968,0.2832846888549747,28.58102125332751,59.099989757967144,10.594100458008185,17.98692079531933,48.50588929995897
2025,Slow grind up,0.05531468417270887,0.2516061526961594,9.905724121176728,42.934088983257304,29.607072755457196,-19.701348634280468,13.327016227800105
2026,High volatility,0.012825963718820865,0.30161801148635575,22.88391593188002,35.47833834278934,5.978578378477258,16.90533755340276,29.499759964312076
