Year,Split,Short_Count,Short_MeanDays,Long_Count,Long_MeanDays,All_Count,All_MeanDays
2018,[Train],14,3.642857142857143,14,3.7142857142857144,28,3.6785714285714284
2019,[Train],14,2.5714285714285716,8,11.625,22,5.863636363636363
2020,[Train],18,2.3333333333333335,14,4.5,32,3.28125
2021,[Train],18,3.8333333333333335,20,4.25,38,4.052631578947368
2022,[Train],14,4.857142857142857,17,4.176470588235294,31,4.483870967741935
2023,[Val],16,3.125,11,6.545454545454546,27,4.518518518518518
2024,[Val],14,3.2857142857142856,16,5.5,30,4.466666666666667
2025,[Test],13,2.3076923076923075,14,6.928571428571429,27,4.703703703703703
2026,[Test],11,3.727272727272727,10,3.5,21,3.619047619047619
