date,open,high,low,close,volume,amount,prev_close,next_execution_date
2007-01-15,1881.467,1986.539,1881.467,1986.539,3881263032.0,23710425918.0,1881.753,2007-01-16
2007-01-16,1991.691,2055.016,1991.041,2055.016,4807441898.0,30689048908.0,1986.539,2007-01-17
2007-01-17,2064.289,2093.89,1992.539,2035.651,5883288700.0,38375191550.0,2055.016,2007-01-18
2007-01-18,2025.853,2085.403,2002.656,2085.403,5094946000.0,32208210284.0,2035.651,2007-01-19
2007-01-19,2097.505,2159.646,2097.505,2159.638,5792516800.0,36951910780.0,2085.403,2007-01-22
2007-01-22,2183.437,2259.029,2183.437,2258.986,6358920100.0,40928365323.0,2159.638,2007-01-23
2007-01-23,2267.454,2268.687,2175.598,2261.785,6108017600.0,39600092963.0,2258.986,2007-01-24
2007-01-24,2260.707,2295.258,2236.575,2283.696,5104122200.0,33928713068.0,2261.785,2007-01-25
2007-01-25,2271.519,2271.519,2172.984,2174.239,4817566000.0,32172915840.0,2283.696,2007-01-26
2007-01-26,2143.994,2196.278,2061.66,2186.27,4475940500.0,28778328607.0,2174.239,2007-01-29
2007-01-29,2201.586,2261.242,2201.586,2260.596,4564666200.0,30788164443.0,2186.27,2007-01-30
2007-01-30,2271.474,2280.725,2230.652,2255.938,5024768700.0,33163100591.0,2260.596,2007-01-31
2007-01-31,2251.318,2258.698,2129.786,2142.891,4904692400.0,32828621831.0,2255.938,2007-02-01
2007-02-01,2120.007,2176.195,2080.162,2165.405,4233884500.0,27578619714.0,2142.891,2007-02-02
2007-02-02,2170.03,2190.958,2124.298,2127.104,3861061000.0,25752753793.0,2165.405,2007-02-05
2007-02-05,2122.369,2166.094,2118.871,2152.25,3013411000.0,20119479185.0,2127.104,2007-02-06
2007-02-06,2158.498,2198.626,2148.099,2198.239,3087618500.0,20714662878.0,2152.25,2007-02-07
2007-02-07,2209.652,2237.944,2208.378,2237.944,3832705000.0,26101531474.0,2198.239,2007-02-08
2007-02-08,2245.078,2282.193,2233.521,2278.445,3905389700.0,26710676361.0,2237.944,2007-02-09
2007-02-09,2282.627,2300.806,2263.612,2287.381,3716182200.0,24939688424.0,2278.445,2007-02-12
2007-02-12,2291.66,2341.072,2291.66,2341.072,3618835300.0,25013026001.0,2287.381,2007-02-13
2007-02-13,2351.65,2384.158,2338.565,2384.158,3816378300.0,26801027681.0,2341.072,2007-02-14
2007-02-14,2386.835,2445.765,2380.736,2435.959,4406558200.0,31223510543.0,2384.158,2007-02-15
2007-02-15,2451.436,2512.55,2451.318,2512.402,5151645900.0,37101618593.0,2435.959,2007-02-16
2007-02-16,2528.836,2581.56,2519.232,2541.409,5405675100.0,39956571058.0,2512.402,2007-02-26
2007-02-26,2557.254,2642.114,2532.097,2642.114,4896308400.0,36442929080.0,2541.409,2007-02-27
2007-02-27,2654.435,2673.53,2402.719,2405.574,7240425400.0,52918857566.0,2642.114,2007-02-28
2007-02-28,2370.951,2520.0,2369.053,2513.533,5302502900.0,37869581290.0,2405.574,2007-03-01
2007-03-01,2526.154,2526.159,2417.842,2459.511,5882813900.0,41587572191.0,2513.533,2007-03-02
2007-03-02,2458.26,2515.023,2452.965,2503.677,4723810400.0,33901995283.0,2459.511,2007-03-05
2007-03-05,2508.386,2548.254,2419.288,2511.916,4953597800.0,36388108851.0,2503.677,2007-03-06
2007-03-06,2501.286,2524.632,2467.68,2516.003,3332166600.0,24808787734.0,2511.916,2007-03-07
2007-03-07,2525.534,2580.597,2525.466,2580.597,3723070900.0,28949689587.0,2516.003,2007-03-08
2007-03-08,2587.748,2634.879,2562.499,2634.879,4307706500.0,33388959788.0,2580.597,2007-03-09
2007-03-09,2637.596,2662.328,2590.438,2638.047,4803170500.0,37390032187.0,2634.879,2007-03-12
2007-03-12,2639.894,2696.871,2610.402,2696.497,5136709100.0,39729102503.0,2638.047,2007-03-13
