series,year,phase,strategy_return_pct,index_return_pct,excess_return_pct,short_days,flat_days,long_days,directional_days,winning_directional_days,directional_win_rate_pct,mean_directional_return_pct,days,zero_down_days,zero_up_days,plus_exit_days,minus_exit_days,big_up_days,big_down_days
Raw 1545,2018,Train,-5.99414729395151,-38.74557895161795,32.75143165766644,17,208,17,34,16,47.05882352941176,-0.17629844982210324,242,40,44,1,1,12,40
Raw 1545,2019,Train,44.06675044139593,26.477225403368614,17.58952503802731,11,171,62,73,49,67.12328767123287,0.6036541156355606,244,35,27,0,4,17,14
Raw 1545,2020,Train,9.357475509587598,22.590672684749492,-13.233197175161893,20,179,44,64,32,50.0,0.14621055483730627,243,42,47,7,6,18,26
Raw 1545,2021,Train,6.589650694134733,15.897308980343992,-9.307658286209259,27,175,41,68,40,58.82352941176471,0.09690662785492248,243,61,65,5,2,10,2
Raw 1545,2022,Train,21.72950307928468,-20.990004724908186,42.71950780419287,59,143,40,99,51,51.515151515151516,0.21948993009378467,242,37,53,6,13,10,9
Raw 1545,2023,Val,6.642018855727944,-6.531712246373825,13.17373110210177,35,159,48,83,45,54.21686746987952,0.08002432356298726,242,27,29,0,7,8,0
Raw 1545,2024,Val,28.58102125332751,10.594100458008185,17.98692079531933,28,175,39,67,35,52.23880597014925,0.4265824067660823,242,27,63,10,4,13,26
Raw 1545,2025,Test,9.905724121176728,29.607072755457196,-19.701348634280468,6,164,73,79,42,53.16455696202531,0.12538891292628773,243,32,41,16,1,12,12
Raw 1545,2026,Test,22.88391593188002,8.388676159170569,14.49523977270945,30,77,42,72,43,59.72222222222222,0.31783216572055584,149,21,21,17,7,13,15
