Year,Split,Short,Short_Win,Short_WinPct,Long,Long_Win,Long_WinPct,All,All_Win,All_WinPct,All_ReturnPct
2018,[Train],14,11,78.57142857142857,14,6,42.857142857142854,28,17,60.71428571428571,5.007771511098401
2019,[Train],14,10,71.42857142857143,8,7,87.5,22,17,77.27272727272727,76.07741101301836
2020,[Train],18,11,61.111111111111114,14,6,42.857142857142854,32,17,53.125,21.443712155965123
2021,[Train],18,9,50.0,20,14,70.0,38,23,60.526315789473685,9.233109230621942
2022,[Train],14,9,64.28571428571429,17,8,47.05882352941176,31,17,54.83870967741935,29.399618109804297
2023,[Val],16,7,43.75,11,6,54.54545454545454,27,13,48.148148148148145,4.4829644358213585
2024,[Val],14,11,78.57142857142857,16,10,62.5,30,21,70.0,56.211424961532686
2025,[Test],13,7,53.84615384615385,14,13,92.85714285714286,27,20,74.07407407407408,54.11324152811458
2026,[Test],9,7,77.77777777777779,10,7,70.0,19,14,73.68421052631578,27.874916117310093
