series,run_id,state,start_date,end_date,year,phase,holding_days,segment_return,return_available,aligned_segment_return,is_directional
Raw 1545,63,0,2022-03-18,2022-04-18,2022,Train,20,0.0,True,0.0,False
Raw 1545,64,-1,2022-04-19,2022-04-28,2022,Train,8,0.10179034426751965,True,0.10179034426751965,True
Raw 1545,65,0,2022-04-29,2022-05-27,2022,Train,18,0.0,True,0.0,False
Raw 1545,66,1,2022-05-30,2022-06-22,2022,Train,17,0.04555468658448447,True,0.04555468658448447,True
Raw 1545,67,0,2022-06-23,2022-06-28,2022,Train,4,0.0,True,0.0,False
Raw 1545,68,1,2022-06-29,2022-07-07,2022,Train,7,0.0002618372449887385,True,0.0002618372449887385,True
Raw 1545,69,0,2022-07-08,2022-07-15,2022,Train,6,0.0,True,0.0,False
Raw 1545,70,-1,2022-07-18,2022-07-22,2022,Train,5,-0.013189772687074108,True,-0.013189772687074108,True
Raw 1545,71,0,2022-07-25,2022-08-03,2022,Train,8,0.0,True,0.0,False
Raw 1545,72,-1,2022-08-04,2022-08-10,2022,Train,5,-0.030366845689454136,True,-0.030366845689454136,True
Raw 1545,73,0,2022-08-11,2022-08-12,2022,Train,2,0.0,True,0.0,False
Raw 1545,74,1,2022-08-15,2022-08-25,2022,Train,9,-0.011168467819570371,True,-0.011168467819570371,True
Raw 1545,75,0,2022-08-26,2022-09-16,2022,Train,15,0.0,True,0.0,False
Raw 1545,76,-1,2022-09-19,2022-09-28,2022,Train,8,0.020733676418492886,True,0.020733676418492886,True
Raw 1545,77,0,2022-09-29,2022-11-14,2022,Train,28,0.0,True,0.0,False
Raw 1545,78,1,2022-11-15,2022-11-23,2022,Train,7,0.0005892748046555374,True,0.0005892748046555374,True
Raw 1545,79,0,2022-11-24,2022-11-28,2022,Train,3,0.0,True,0.0,False
Raw 1545,80,-1,2022-11-29,2022-12-05,2022,Train,5,-0.021517834652819312,True,-0.021517834652819312,True
Raw 1545,81,0,2022-12-06,2022-12-14,2022,Train,7,0.0,True,0.0,False
Raw 1545,82,-1,2022-12-15,2022-12-27,2022,Train,9,0.03628292750536832,True,0.03628292750536832,True
Raw 1545,83,0,2022-12-28,2023-01-13,2022,Train,12,0.0,True,0.0,False
Raw 1545,84,1,2023-01-16,2023-02-16,2023,Val,19,0.035785085564223884,True,0.035785085564223884,True
Raw 1545,85,0,2023-02-17,2023-03-14,2023,Val,18,0.0,True,0.0,False
Raw 1545,86,-1,2023-03-15,2023-03-22,2023,Val,6,-0.006934743739638094,True,-0.006934743739638094,True
Raw 1545,87,0,2023-03-23,2023-04-04,2023,Val,9,0.0,True,0.0,False
Raw 1545,88,1,2023-04-06,2023-04-20,2023,Val,11,0.003938486475968506,True,0.003938486475968506,True
Raw 1545,89,0,2023-04-21,2023-04-24,2023,Val,2,0.0,True,0.0,False
Raw 1545,90,-1,2023-04-25,2023-05-04,2023,Val,5,-0.008301651815086908,True,-0.008301651815086908,True
Raw 1545,91,0,2023-05-05,2023-05-10,2023,Val,4,0.0,True,0.0,False
Raw 1545,92,-1,2023-05-11,2023-05-26,2023,Val,12,0.022404589497307947,True,0.022404589497307947,True
Raw 1545,93,0,2023-05-29,2023-06-19,2023,Val,16,0.0,True,0.0,False
Raw 1545,94,1,2023-06-20,2023-06-28,2023,Val,5,-0.03179200052969455,True,-0.03179200052969455,True
Raw 1545,95,0,2023-06-29,2023-08-14,2023,Val,33,0.0,True,0.0,False
Raw 1545,96,-1,2023-08-15,2023-08-22,2023,Val,6,0.031815872055112604,True,0.031815872055112604,True
Raw 1545,97,0,2023-08-23,2023-11-07,2023,Val,49,0.0,True,0.0,False
Raw 1545,98,1,2023-11-08,2023-11-17,2023,Val,8,0.00597979466063947,True,0.00597979466063947,True
Raw 1545,99,0,2023-11-20,2023-11-21,2023,Val,2,0.0,True,0.0,False
Raw 1545,100,1,2023-11-22,2023-11-28,2023,Val,5,-0.005923322915869722,True,-0.005923322915869722,True
Raw 1545,101,0,2023-11-29,2023-12-19,2023,Val,15,0.0,True,0.0,False
Raw 1545,102,-1,2023-12-20,2023-12-27,2023,Val,6,0.01944807930431669,True,0.01944807930431669,True
Raw 1545,103,0,2023-12-28,2024-01-15,2023,Val,12,0.0,True,0.0,False
Raw 1545,104,-1,2024-01-16,2024-01-24,2024,Val,7,0.04879343498194555,True,0.04879343498194555,True
Raw 1545,105,0,2024-01-25,2024-01-30,2024,Val,4,0.0,True,0.0,False
Raw 1545,106,-1,2024-01-31,2024-02-06,2024,Val,5,-0.010824634704631908,True,-0.010824634704631908,True
Raw 1545,107,0,2024-02-07,2024-02-26,2024,Val,8,0.0,True,0.0,False
Raw 1545,108,1,2024-02-27,2024-03-07,2024,Val,8,0.0222248160181423,True,0.0222248160181423,True
