series,start_date,end_date,observations,final_nav,total_return_pct,annualized_additive_return_pct,annualized_volatility_pct,sharpe,max_drawdown_pct,active_days,winning_directional_days,directional_win_rate_pct,daily_win_rate_pct
Raw 1545,2018-01-03,2026-08-14,2090,2.4376191259256403,143.76191259256404,17.33397223604121,15.070594297874065,1.1501850486736562,-11.699579584923203,639,353,55.24256651017214,16.88995215311005
Adj 1545 (+4 Reversal),2018-01-03,2026-08-14,2090,3.8346636821441686,283.4663682144169,34.178719995231134,17.77809228496744,1.92251898839177,-10.949236836625985,1086,607,55.89318600368324,29.04306220095694
CSI500 Buy & Hold,2018-01-03,2026-08-14,2090,1.4728776051819854,47.28776051819854,5.7016821294670015,24.03017204957357,0.23727179804225254,-45.905210327747234,2090,1081,51.72248803827751,51.72248803827751
