year,formal_switches,axis_only_switches,fixed_anchor_switches,formal_neutral_share_pct,axis_only_neutral_share_pct,fixed_anchor_neutral_share_pct
2018,14,50,52,85.59670781893004,35.80246913580247,41.56378600823045
2019,11,46,44,70.08196721311475,40.98360655737705,45.90163934426229
2020,16,62,41,74.07407407407408,47.73662551440329,53.49794238683128
2021,19,55,62,72.0164609053498,46.50205761316872,49.794238683127574
2022,27,49,44,59.09090909090909,34.29752066115703,37.60330578512397
2023,21,55,40,65.70247933884298,43.388429752066116,50.0
2024,21,45,37,72.31404958677686,35.9504132231405,42.14876033057851
2025,10,54,44,67.07818930041152,46.09053497942387,52.2633744855967
2026,16,29,32,54.19354838709678,32.903225806451616,38.064516129032256
