形成日,实际执行日,三状态,state_strength,state_phase,fast_engine,slow_engine,direction_score,direction_score_continuous,direction_score_band,risk_high_count,-1转0_score,-1转0_冻结阈值,-1转0_距阈值,+1转0_score,+1转0_冻结阈值,+1转0_距阈值,0转-1_score,0转-1_冻结阈值,0转-1_距阈值,0转-1_释放阈值,0转-1_距释放阈值,0转-1_事件信号,0转+1_score,0转+1_冻结阈值,0转+1_距阈值,0转+1_释放阈值,0转+1_距释放阈值,0转+1_事件信号,大涨_score,大涨_冻结阈值,大涨_距阈值,大涨_预测,大跌_score,大跌_冻结阈值,大跌_距阈值,大跌_预测
2018-01-02,2018-01-03,0,0.3321428571428571,entry,0.5,0.5,0.4649999999999999,0.5,0.3833333333333333,0.0,0.0,0.815842643776842,-0.815842643776842,,0.4920211306764882,,-1.368416193803018,1.2294466376933055,-2.5978628314963235,0.6645986031220402,-2.033014796925058,0,4.586956521739131,4.671980676328502,-0.0850241545893712,4.606280193236715,-0.0193236714975837,0,0.3665198485949854,0.8135114753699175,-0.4469916267749321,0,0.478558365129747,0.6832148298881413,-0.2046564647583943,0
2018-01-03,2018-01-04,0,0.2976190476190476,entry,0.5,0.75,0.6574999999999999,0.6749999999999999,0.6166666666666666,0.0,0.0,0.815842643776842,-0.815842643776842,,0.4920211306764882,,-1.3610799296672256,1.2294466376933055,-2.590526567360531,0.6645986031220402,-2.0256785327892657,0,4.601449275362318,4.671980676328502,-0.0705314009661837,4.606280193236715,-0.0048309178743961,0,0.3419029554209866,0.8135114753699175,-0.4716085199489309,0,0.4815869262934413,0.6832148298881413,-0.2016279035947,0
2018-01-04,2018-01-05,0,0.3571428571428571,continuation,0.6666666666666667,0.6666666666666667,0.6558333333333333,0.6833333333333333,0.5916666666666666,0.0,0.0,0.815842643776842,-0.815842643776842,,0.4920211306764882,,-0.6697803070293685,1.2294466376933055,-1.899226944722674,0.6645986031220402,-1.3343789101514087,0,-4.557971014492754,4.671980676328502,-9.229951690821256,4.606280193236715,-9.164251207729468,0,0.325601239751032,0.8135114753699175,-0.4879102356188855,0,0.4956451992069755,0.6832148298881413,-0.1875696306811658,0
2018-01-05,2018-01-08,0,-0.0773809523809523,continuation,0.625,0.375,0.4399999999999999,0.475,0.3583333333333333,1.0,0.1745755846792992,0.815842643776842,-0.6412670590975428,,0.4920211306764882,,0.4536322130515758,1.2294466376933055,-0.7758144246417298,0.6645986031220402,-0.2109663900704644,0,-4.640096618357488,4.671980676328502,-9.31207729468599,4.606280193236715,-9.246376811594205,0,0.3622923111982024,0.8135114753699175,-0.4512191641717151,0,0.474185249933589,0.6832148298881413,-0.2090295799545523,0
2018-01-08,2018-01-09,0,0.0714285714285714,continuation,0.6,0.5,0.57525,0.5700000000000001,0.5875,1.0,0.3303123076621923,0.815842643776842,-0.4855303361146497,,0.4920211306764882,,-1.6105305143915638,1.2294466376933055,-2.8399771520848693,0.6645986031220402,-2.275129117513604,0,4.572463768115942,4.671980676328502,-0.0995169082125597,4.606280193236715,-0.0338164251207722,0,0.3318912016993019,0.8135114753699175,-0.4816202736706156,0,0.4989001532912214,0.6832148298881413,-0.1843146765969199,0
2018-01-09,2018-01-10,0,0.0595238095238095,continuation,0.75,0.5,0.6191666666666666,0.6166666666666667,0.625,0.0,0.4472719591633705,0.815842643776842,-0.3685706846134715,,0.4920211306764882,,-1.281245777208477,1.2294466376933055,-2.510692414901783,0.6645986031220402,-1.9458443803305177,0,-4.572463768115942,4.671980676328502,-9.244444444444444,4.606280193236715,-9.178743961352655,0,0.329489909885058,0.8135114753699175,-0.4840215654848595,0,0.5031087490458804,0.6832148298881413,-0.1801060808422608,0
2018-01-10,2018-01-11,0,-0.282312925170068,continuation,0.4285714285714285,0.4285714285714285,0.43875,0.4642857142857143,0.3791666666666666,0.0,0.5442642251506802,0.815842643776842,-0.2715784186261618,,0.4920211306764882,,-0.1605024898347541,1.2294466376933055,-1.3899491275280595,0.6645986031220402,-0.8251010929567943,0,4.567632850241546,4.671980676328502,-0.1043478260869559,4.606280193236715,-0.0386473429951683,0,0.6072295353699708,0.8135114753699175,-0.2062819399999467,0,0.4755298265988413,0.6832148298881413,-0.2076850032893,0
2018-01-11,2018-01-12,0,-0.2827380952380952,continuation,0.1875,0.5,0.3974999999999999,0.4375,0.3041666666666666,1.0,0.6512900201275676,0.815842643776842,-0.1645526236492743,,0.4920211306764882,,0.456011846766411,1.2294466376933055,-0.7734347909268946,0.6645986031220402,-0.2085867563556292,0,-4.640096618357488,4.671980676328502,-9.31207729468599,4.606280193236715,-9.246376811594205,0,0.3850634767780787,0.8135114753699175,-0.4284479985918388,0,0.5309836466559039,0.6832148298881413,-0.1522311832322374,0
2018-01-12,2018-01-15,0,-0.2936507936507936,continuation,0.2777777777777778,0.2777777777777778,0.2724999999999999,0.3,0.2083333333333333,1.0,0.7942673993567007,0.815842643776842,-0.0215752444201413,,0.4920211306764882,,-0.2214840107544313,1.2294466376933055,-1.450930648447737,0.6645986031220402,-0.8860826138764715,0,-4.611111111111111,4.671980676328502,-9.283091787439613,4.606280193236715,-9.217391304347824,0,0.4759519191704786,0.8135114753699175,-0.3375595561994389,0,0.4926376377819393,0.6832148298881413,-0.190577192106202,0
2018-01-15,2018-01-16,0,-0.4642857142857143,pending_switch,0.1999999999999999,0.1,0.1057499999999999,0.1349999999999999,0.0375,2.0,0.9964520996500668,0.815842643776842,0.1806094558732247,,0.4920211306764882,,1.6883793130161584,1.2294466376933055,0.4589326753228528,0.6645986031220402,1.023780709894118,1,-4.572463768115942,4.671980676328502,-9.244444444444444,4.606280193236715,-9.178743961352655,0,0.9105461231294204,0.8135114753699175,0.0970346477595028,1,0.5057659950265907,0.6832148298881413,-0.1774488348615506,0
