series,run_id,state,start_date,end_date,year,phase,holding_days,segment_return,return_available,source_detail,zero_transfer_days,aligned_segment_return,is_directional
仅零段反转（0→-1/0→+1）,45,1,2018-11-20,2018-11-26,2018,Train,5,-0.050882133033821005,True,基础+1,0,-0.050882133033821005,True
仅零段反转（0→-1/0→+1）,46,0,2018-11-27,2018-11-27,2018,Train,1,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,47,1,2018-11-28,2018-11-29,2018,Train,2,-0.0122298041849731,True,0转+1持有,2,-0.0122298041849731,True
仅零段反转（0→-1/0→+1）,48,0,2018-11-30,2018-12-03,2018,Train,2,0.0,True,零段同日冲突置0,0,0.0,False
仅零段反转（0→-1/0→+1）,49,1,2018-12-04,2018-12-05,2018,Train,2,-0.0064809808631385996,True,0转+1持有,2,-0.0064809808631385996,True
仅零段反转（0→-1/0→+1）,50,0,2018-12-06,2018-12-24,2018,Train,13,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,51,-1,2018-12-25,2019-01-04,2018,Train,7,-0.0015598144296590025,True,0转-1持有；基础-1,2,-0.0015598144296590025,True
仅零段反转（0→-1/0→+1）,52,1,2019-01-07,2019-01-25,2019,Train,15,0.02531118752794765,True,0转+1持有；基础+1,6,0.02531118752794765,True
仅零段反转（0→-1/0→+1）,53,0,2019-01-28,2019-01-29,2019,Train,2,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,54,-1,2019-01-30,2019-01-31,2019,Train,2,0.0109262061810409,True,0转-1持有,2,0.0109262061810409,True
仅零段反转（0→-1/0→+1）,55,0,2019-02-01,2019-02-11,2019,Train,2,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,56,1,2019-02-12,2019-03-11,2019,Train,20,0.2279621393637671,True,0转+1持有；基础+1,1,0.2279621393637671,True
仅零段反转（0→-1/0→+1）,57,-1,2019-03-12,2019-03-13,2019,Train,2,0.0214590596105056,True,0转-1持有,2,0.0214590596105056,True
仅零段反转（0→-1/0→+1）,58,0,2019-03-14,2019-03-27,2019,Train,10,0.0,True,基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,59,-1,2019-03-28,2019-03-29,2019,Train,2,-0.0296887009805031,True,0转-1持有,2,-0.0296887009805031,True
仅零段反转（0→-1/0→+1）,60,1,2019-04-01,2019-04-08,2019,Train,5,0.0435373922378591,True,0转+1持有,5,0.0435373922378591,True
仅零段反转（0→-1/0→+1）,61,0,2019-04-09,2019-04-24,2019,Train,12,0.0,True,零段同日冲突置0；基础0,0,0.0,False
仅零段反转（0→-1/0→+1）,62,-1,2019-04-25,2019-05-13,2019,Train,10,0.1315751329228065,True,0转-1持有；基础-1,2,0.1315751329228065,True
