实际执行日,三状态,+1反转,-1反转,0转-1,0转+1,大涨,大跌,执行日O2O,阶段,仅零段反转状态,仅零段反转原因,仅零段反转日收益
2018-04-13,0,0,0,0,0,0,0,-0.0091649669855221,Train,0,基础0,-0.0
2018-04-16,0,0,0,0,0,0,0,0.0010610370383761,Train,0,基础0,0.0
2018-04-17,0,0,0,1,0,0,0,-0.0163853282889324,Train,-1,0转-1持有,0.0163853282889324
2018-04-18,0,0,0,1,0,0,0,0.0066483232756875,Train,-1,0转-1持有,-0.0066483232756875
2018-04-19,0,0,0,0,0,0,0,0.0031560523606364,Train,0,基础0,0.0
2018-04-20,0,0,0,0,0,0,0,-0.0164522151210461,Train,0,基础0,-0.0
2018-04-23,0,0,0,0,0,0,0,-0.0102215361650386,Train,0,基础0,-0.0
2018-04-24,0,0,0,0,0,0,0,0.0178445540126634,Train,0,基础0,0.0
2018-04-25,0,0,0,0,0,0,0,0.0036743821681939,Train,0,基础0,0.0
2018-04-26,0,0,0,1,0,0,0,-0.0144088783290621,Train,-1,0转-1持有,0.0144088783290621
2018-04-27,0,0,0,1,0,0,0,-0.0006138667915199,Train,-1,0转-1持有,0.0006138667915199
2018-05-02,0,0,0,1,0,0,0,-0.0031988242329249,Train,-1,0转-1持有,0.0031988242329249
2018-05-03,0,0,0,1,0,0,0,0.0082199311552655,Train,-1,0转-1持有,-0.0082199311552655
2018-05-04,0,0,0,0,0,0,0,0.0051251204333788,Train,0,基础0,0.0
2018-05-07,0,0,0,0,0,0,0,0.0172715246524386,Train,0,基础0,0.0
2018-05-08,0,0,0,0,0,0,0,0.0018051382674586,Train,0,基础0,0.0
2018-05-09,0,0,0,0,0,0,0,0.0002568748405717,Train,0,基础0,0.0
2018-05-10,0,0,0,0,0,0,0,0.0014871422270195,Train,0,基础0,0.0
2018-05-11,0,0,0,0,0,0,0,-0.0103411212352828,Train,0,基础0,-0.0
2018-05-14,0,0,0,0,1,0,0,-0.0017232177426889,Train,1,0转+1持有,-0.0017232177426889
2018-05-15,0,0,0,0,1,0,0,0.0051223829870115,Train,1,0转+1持有,0.0051223829870115
2018-05-16,0,0,0,1,1,0,0,-0.0003352461499542,Train,0,零段同日冲突置0,-0.0
2018-05-17,0,0,0,1,1,0,0,-0.0053628875940007,Train,0,零段同日冲突置0,-0.0
2018-05-18,0,0,0,0,0,0,0,0.011035543281312,Train,0,基础0,0.0
2018-05-21,0,0,0,0,0,0,0,0.0052738072308153,Train,0,基础0,0.0
2018-05-22,0,0,0,0,0,0,0,0.0023862186370313,Train,0,基础0,0.0
2018-05-23,0,0,0,0,0,0,0,-0.0109698909467372,Train,0,基础0,-0.0
2018-05-24,0,0,0,0,0,0,0,-0.0050017783443057,Train,0,基础0,-0.0
2018-05-25,0,0,0,0,0,0,0,-0.0122759415276241,Train,0,基础0,-0.0
2018-05-28,0,0,0,0,0,0,0,-0.0043806750979367,Train,0,基础0,-0.0
2018-05-29,0,0,0,0,0,0,0,-0.0212658493205423,Train,0,基础0,-0.0
2018-05-30,0,0,0,0,0,0,0,-0.0063376722321873,Train,0,基础0,-0.0
2018-05-31,0,0,0,1,0,0,0,0.0012179388330926,Train,-1,0转-1持有,-0.0012179388330926
2018-06-01,0,0,0,1,0,0,0,-0.0064482252511235,Train,-1,0转-1持有,0.0064482252511235
2018-06-04,0,0,0,0,0,0,0,-0.0020646868341953,Train,0,基础0,-0.0
2018-06-05,0,0,0,0,0,0,0,0.015753441644541,Train,0,基础0,0.0
2018-06-06,0,0,0,0,1,0,0,0.0027285529847049,Train,1,0转+1持有,0.0027285529847049
2018-06-07,0,0,0,0,1,0,0,-0.0094394844267569,Train,1,0转+1持有,-0.0094394844267569
2018-06-08,0,0,0,0,1,0,0,-0.0129435075364731,Train,1,0转+1持有,-0.0129435075364731
2018-06-11,0,0,0,1,1,0,0,-0.0034114701499322,Train,0,零段同日冲突置0,-0.0
2018-06-12,0,0,0,1,1,0,0,0.007176091422099,Train,0,零段同日冲突置0,0.0
2018-06-13,0,0,0,0,0,0,0,-0.015538644968033,Train,0,基础0,-0.0
2018-06-14,0,0,0,0,0,0,0,-0.0013824355098644,Train,0,基础0,-0.0
2018-06-15,0,0,0,0,0,0,0,-0.0333441247353767,Train,0,基础0,-0.0
2018-06-19,0,0,0,1,0,0,0,-0.0523698188259913,Train,-1,0转-1持有,0.0523698188259913
2018-06-20,0,0,0,1,0,1,0,0.0160475589136954,Train,-1,0转-1持有,-0.0160475589136954
2018-06-21,0,0,0,0,0,0,0,-0.0276539489633582,Train,0,基础0,-0.0
2018-06-22,0,0,0,0,0,0,0,0.0285431225650358,Train,0,基础0,0.0
2018-06-25,0,0,0,0,0,0,1,-0.0264141215790955,Train,0,基础0,-0.0
2018-06-26,0,0,0,0,0,0,1,0.019812394530132,Train,0,基础0,0.0
2018-06-27,0,0,0,0,0,0,1,-0.0120383433522521,Train,0,基础0,-0.0
2018-06-28,0,0,0,0,0,0,1,-0.0071446863277484,Train,0,基础0,-0.0
2018-06-29,0,0,0,0,0,0,1,0.0307769168628446,Train,0,基础0,0.0
2018-07-02,0,0,0,0,1,0,1,-0.0150101022585797,Train,1,0转+1持有,-0.0150101022585797
2018-07-03,0,0,0,0,1,0,1,0.0063523785134853,Train,1,0转+1持有,0.0063523785134853
2018-07-04,0,0,0,0,1,0,1,-0.0119986315721506,Train,1,0转+1持有,-0.0119986315721506
2018-07-05,0,0,0,0,1,0,0,-0.0248886187848547,Train,1,0转+1持有,-0.0248886187848547
2018-07-06,0,0,0,0,0,0,0,0.005064248513092,Train,0,基础0,0.0
2018-07-09,0,0,0,0,0,0,0,0.0213508991928246,Train,0,基础0,0.0
2018-07-10,0,0,0,0,0,0,0,-0.0105686382304371,Train,0,基础0,-0.0
2018-07-11,0,0,0,0,0,0,0,-0.0060824823803896,Train,0,基础0,-0.0
2018-07-12,0,0,0,0,0,0,0,0.0288737720345024,Train,0,基础0,0.0
2018-07-13,0,0,0,0,0,0,0,0.0052215387929261,Train,0,基础0,0.0
2018-07-16,0,0,0,0,0,0,0,-0.002379916055436,Train,0,基础0,-0.0
2018-07-17,0,0,0,0,0,0,0,0.0018772057567515,Train,0,基础0,0.0
2018-07-18,0,0,0,0,1,0,0,-0.0087543688894046,Train,1,0转+1持有,-0.0087543688894046
2018-07-19,0,0,0,0,1,0,0,-0.0092608208027633,Train,1,0转+1持有,-0.0092608208027633
2018-07-20,0,0,0,0,1,0,0,0.0080237150496182,Train,1,0转+1持有,0.0080237150496182
2018-07-23,0,0,0,0,1,0,0,0.0129746351716322,Train,1,0转+1持有,0.0129746351716322
2018-07-24,0,0,0,0,1,0,0,0.0181496346468488,Train,1,0转+1持有,0.0181496346468488
2018-07-25,0,0,0,0,1,0,0,-0.0001339672074049,Train,1,0转+1持有,-0.0001339672074049
2018-07-26,0,0,0,0,0,0,0,-0.006985203392238,Train,0,基础0,-0.0
2018-07-27,1,0,0,0,0,0,0,-0.004830888175182,Train,1,基础+1,-0.004830888175182
2018-07-30,1,0,0,0,0,0,0,-0.0118108665852726,Train,1,基础+1,-0.0118108665852726
2018-07-31,1,0,0,0,0,0,0,0.0030156131987053,Train,1,基础+1,0.0030156131987053
2018-08-01,1,0,0,0,0,0,0,-0.020027870198918,Train,1,基础+1,-0.020027870198918
2018-08-02,1,0,0,0,0,0,0,-0.02187680022026,Train,1,基础+1,-0.02187680022026
2018-08-03,0,0,0,1,0,0,0,-0.012722024590529,Train,-1,0转-1持有,0.012722024590529
2018-08-06,0,0,0,1,0,0,0,-0.0169098840604073,Train,-1,0转-1持有,0.0169098840604073
2018-08-07,0,0,0,0,0,0,0,0.021600337595995,Train,0,基础0,0.0
2018-08-08,0,0,0,0,1,0,0,-0.0159134815028066,Train,1,0转+1持有,-0.0159134815028066
2018-08-09,0,0,0,0,1,0,0,0.028360802946957,Train,1,0转+1持有,0.028360802946957
2018-08-10,0,0,0,0,1,0,0,-0.0037410634123998,Train,1,0转+1持有,-0.0037410634123998
2018-08-13,0,0,0,1,1,0,0,0.0125561710923203,Train,0,零段同日冲突置0,0.0
2018-08-14,0,0,0,1,1,0,0,-0.0016503928515492,Train,0,零段同日冲突置0,-0.0
2018-08-15,0,0,0,0,0,0,0,-0.0315497826103189,Train,0,基础0,-0.0
2018-08-16,0,0,0,0,0,0,0,0.0095845042254645,Train,0,基础0,0.0
2018-08-17,0,0,0,0,0,0,0,-0.0262415553627768,Train,0,基础0,-0.0
2018-08-20,0,0,0,0,0,0,0,0.0077118637050188,Train,0,基础0,0.0
2018-08-21,0,0,0,0,0,0,1,0.0094806906726372,Train,0,基础0,0.0
2018-08-22,0,0,0,1,0,0,0,-0.0092280880811373,Train,-1,0转-1持有,0.0092280880811373
2018-08-23,0,0,0,1,0,0,0,0.0045235862556403,Train,-1,0转-1持有,-0.0045235862556403
2018-08-24,-1,0,0,0,0,0,0,0.0010836519162287,Train,-1,基础-1,-0.0010836519162287
2018-08-27,-1,0,0,0,0,0,0,0.0217342431707043,Train,-1,基础-1,-0.0217342431707043
2018-08-28,-1,0,0,0,0,0,0,0.0014805827872919,Train,-1,基础-1,-0.0014805827872919
2018-08-29,-1,0,0,0,0,0,0,-0.0069255253465201,Train,-1,基础-1,0.0069255253465201
2018-08-30,-1,0,0,0,0,0,0,-0.016745960113095,Train,-1,基础-1,0.016745960113095
2018-08-31,0,0,0,0,0,0,0,-0.0095954967666191,Train,0,基础0,-0.0
2018-09-03,0,0,0,0,0,0,0,0.005303117634797,Train,0,基础0,0.0
2018-09-04,0,0,0,0,0,0,0,0.0089442876977565,Train,0,基础0,0.0
2018-09-05,0,0,0,0,1,0,0,-0.0156197083845135,Train,1,0转+1持有,-0.0156197083845135
2018-09-06,0,0,0,0,1,0,0,-0.0008538753388662,Train,1,0转+1持有,-0.0008538753388662
2018-09-07,0,0,0,0,1,0,0,-0.0008831864073056,Train,1,0转+1持有,-0.0008831864073056
2018-09-10,0,0,0,0,1,0,0,-0.0187297952795593,Train,1,0转+1持有,-0.0187297952795593
2018-09-11,0,0,0,0,0,0,0,-0.0004114752321616,Train,0,基础0,-0.0
2018-09-12,0,0,0,0,0,0,0,0.0056437282770303,Train,0,基础0,0.0
2018-09-13,0,0,0,0,0,0,0,-0.0014072550452463,Train,0,基础0,-0.0
2018-09-14,0,0,0,0,0,0,0,-0.0150034183987701,Train,0,基础0,-0.0
2018-09-17,0,0,0,0,0,0,0,-0.0132722510955333,Train,0,基础0,-0.0
2018-09-18,0,0,0,0,0,0,0,0.0186811510763267,Train,0,基础0,0.0
2018-09-19,0,0,0,0,0,0,0,0.0129514280636291,Train,0,基础0,0.0
2018-09-20,0,0,0,0,0,0,0,0.0019691488120916,Train,0,基础0,0.0
2018-09-21,0,0,0,0,0,0,0,0.0065321402011226,Train,0,基础0,0.0
2018-09-25,0,0,0,0,0,0,0,0.0040373274456357,Train,0,基础0,0.0
2018-09-26,0,0,0,0,0,0,0,0.0038745369096324,Train,0,基础0,0.0
2018-09-27,0,0,0,0,0,0,0,-0.0104537120911383,Train,0,基础0,-0.0
2018-09-28,0,0,0,0,0,0,0,-0.0083817925851281,Train,0,基础0,-0.0
2018-10-08,0,0,0,0,0,0,0,-0.0148080932105622,Train,0,基础0,-0.0
2018-10-09,0,0,0,0,0,0,0,-0.0038363132875411,Train,0,基础0,-0.0
2018-10-10,0,0,0,0,0,0,0,-0.0326612263582458,Train,0,基础0,-0.0
2018-10-11,0,0,0,0,0,0,0,-0.0481592415815059,Train,0,基础0,-0.0
2018-10-12,0,0,0,1,0,1,0,0.0037494415452381,Train,-1,0转-1持有,-0.0037494415452381
2018-10-15,-1,0,0,0,0,0,1,-0.0210061004272887,Train,-1,基础-1,0.0210061004272887
2018-10-16,-1,0,0,0,0,0,0,-0.0109776862292273,Train,-1,基础-1,0.0109776862292273
2018-10-17,-1,0,0,0,0,0,1,-0.0103709710223083,Train,-1,基础-1,0.0103709710223083
2018-10-18,-1,0,0,0,0,0,0,-0.0355447967373995,Train,-1,基础-1,0.0355447967373995
2018-10-19,-1,0,1,0,0,0,0,0.0523718930293297,Train,-1,基础-1,-0.0523718930293297
