period,one_day_segments,two_day_segments,short_segments,all_segments,short_segment_pct
2018,4,13,17,53,32.075471698113205
2019,2,10,12,38,31.57894736842105
2020,14,13,27,62,43.54838709677419
2021,17,19,36,71,50.70422535211267
2022,11,14,25,60,41.66666666666667
2023,6,12,18,50,36.0
2024,6,13,19,57,33.33333333333333
2025,6,13,19,53,35.84905660377358
2026,8,6,14,39,35.8974358974359
