问题图区间,实际执行日,推定形成日,原始状态,调整后三状态,调整原因,+1反转,-1反转,0转-1,0转+1,原始策略日收益,调整策略日收益,指数日收益,局部原始三状态_NAV,局部加入四反转_NAV,局部普通指数_NAV
红色区间1,2023-11-01,2023-10-31,0,1,0转+1持有,0,0,0,1,-0.0,-0.003680489812233345,-0.003680489812233345,1.0,0.9963195101877667,0.9963195101877667
红色区间1,2023-11-02,2023-11-01,0,1,0转+1持有,0,0,0,1,-0.0,-0.009497331878845161,-0.009497331878845161,1.0,0.9868221783089215,0.9868221783089215
红色区间1,2023-11-03,2023-11-02,0,0,基础0,0,0,0,0,0.0,0.0,0.015954705697982297,1.0,0.9868221783089215,1.0027768840069038
红色区间1,2023-11-06,2023-11-03,0,0,基础0,0,0,0,0,0.0,0.0,0.008140823902383687,1.0,0.9868221783089215,1.0109177079092875
红色区间1,2023-11-07,2023-11-06,0,0,基础0,0,0,0,0,0.0,0.0,0.0015200733968083746,1.0,0.9868221783089215,1.0124377813060959
红色区间1,2023-11-08,2023-11-07,1,1,基础+1,0,0,0,0,-8.579377364936747e-05,-8.579377364936747e-05,-8.579377364936747e-05,0.9999142062263506,0.9867363845352721,1.0123519875324465
红色区间1,2023-11-09,2023-11-08,1,1,基础+1,0,0,0,0,-0.004489593020246319,-0.004489593020246319,-0.004489593020246319,0.9954246132061043,0.9822467915150258,1.0078623945122
红色区间1,2023-11-10,2023-11-09,1,1,基础+1,0,0,0,0,0.0021017915521011066,0.0021017915521011066,0.0021017915521011066,0.9975264047582054,0.9843485830671269,1.0099641860643014
红色区间1,2023-11-13,2023-11-10,1,1,基础+1,0,0,0,0,0.002491188365412844,0.002491188365412844,0.002491188365412844,1.0000175931236184,0.9868397714325398,1.012455374429714
红色区间1,2023-11-14,2023-11-13,1,1,基础+1,0,0,0,0,0.013308518218037024,0.013308518218037024,0.013308518218037024,1.0133261113416552,1.0001482896505767,1.0257638926477513
红色区间1,2023-11-15,2023-11-14,1,1,基础+1,0,0,0,0,-0.005370097733876422,-0.005370097733876422,-0.005370097733876422,1.007956013607779,0.9947781919167004,1.0203937949138746
