Year,Split,Short,Short_Win,Short_WinPct,Long,Long_Win,Long_WinPct,All,All_Win,All_WinPct,All_ReturnPct
2018,[Train],4,2,50.0,3,1,33.33333333333333,7,3,42.857142857142854,-7.48482869145332
2019,[Train],1,1,100.0,4,4,100.0,5,5,100.0,50.56264041521872
2020,[Train],3,1,33.33333333333333,4,2,50.0,7,3,42.857142857142854,4.352266933266691
2021,[Train],5,3,60.0,4,3,75.0,9,6,66.66666666666666,6.589650694134772
2022,[Train],9,6,66.66666666666666,4,3,75.0,13,9,69.23076923076923,21.729503079284658
2023,[Val],5,3,60.0,5,3,60.0,10,6,60.0,6.642018855727969
2024,[Val],5,2,40.0,5,4,80.0,10,6,60.0,28.581021253327524
2025,[Test],1,0,0.0,4,4,100.0,5,4,80.0,23.07618522588897
2026,[Test],5,4,80.0,2,1,50.0,7,5,71.42857142857143,9.71345482716788
