label,window_end,rank,return_20,return_60,return_120,vol_20,vol_60,drawdown_60,range_20,gap_20,axis_mean_60,axis_std_60,slow_fast_mean_60,positive_sync_mean_60,negative_sync_mean_60,neutral_share_60,switch_rate_60,distance,forward_return_20,forward_return_60,forward_vol_20,future_switches_20,future_directional_days_20
2026当前窗口,2026-08-24,0,-0.0004549388826446954,-0.07685506542713094,-0.10871012177216177,0.3321227136168642,0.35125099211740074,-0.14552525468204258,0.023523034402546023,-0.00036363197213527544,0.32682754629629623,0.280080834760483,-0.028124999999999997,1.0166666666666666,1.9833333333333334,0.55,0.13333333333333333,0.0,,,,,
历史相似1,2020-04-10,1,-0.05194387256607069,-0.039692933912750306,0.02914586355996729,0.33072013718275256,0.36242181627875014,-0.1168606644541853,0.025518751291026247,0.0006267792978289332,0.4484809264845919,0.2873024729536853,0.04562581135758021,1.55,1.4666666666666666,0.7,0.08333333333333333,0.7869252292769224,0.0629297030079734,0.28183243262152,0.16964526996834484,2.0,5.0
历史相似2,2022-10-31,2,0.00013574867694554626,-0.07737515860849309,0.021172903670375165,0.23394306898112027,0.20188789862835319,-0.10570538279582675,0.02067912291230119,-0.00041666353619229657,0.3810983796296296,0.26280539487370896,-0.023660714285714292,1.1666666666666667,1.6666666666666667,0.6333333333333333,0.1,0.8105754489466588,0.04273694800455097,0.08300927778780265,0.14895933264491432,4.0,8.0
历史相似3,2024-02-06,3,-0.07233676912929698,-0.14265590674758988,-0.18727943763587673,0.4145558713999168,0.25960813035946184,-0.15159289674835907,0.03220705236969649,-0.0028603719248617874,0.3531585648148148,0.2560034416405351,-0.03931878306878308,1.05,1.8666666666666667,0.5666666666666667,0.15,0.8301833650645348,0.12676317343429422,0.13332658329874558,0.28530822658050203,3.0,8.0
历史相似4,2022-06-02,4,0.06888572310177032,-0.11387292890635048,-0.16422781096290218,0.2045310786635171,0.3158732108908588,-0.10661618610695911,0.01839544600849204,-0.0022194187608574833,0.3614351851851852,0.2660679255724592,-0.13698743386243384,1.3166666666666667,1.6666666666666667,0.6833333333333333,0.08333333333333333,0.9046117889047518,0.05924265142660334,0.03618349190512826,0.17917121080422785,3.0,16.0
历史相似5,2024-07-11,5,-0.04906223590312242,-0.06395171396146349,-0.04650402179030344,0.20197289862685475,0.19038730393644274,-0.11104279405997508,0.015821305119429713,-0.0010888235168532378,0.33034375,0.2622015924435625,0.061259920634920646,0.9,2.05,0.6,0.11666666666666667,0.9379127351499389,-0.03723216309031174,0.13531528169201423,0.22226358717840064,1.0,0.0
历史相似6,2018-11-08,6,0.017390406806783387,-0.10208661309067757,-0.27210732233529333,0.307762359471022,0.27494357086897875,-0.13311771566624675,0.026115661488245696,-0.0010229090681571906,0.4114137806935264,0.24142971140191571,-0.04493254843020443,1.3333333333333333,1.45,0.8333333333333334,0.06666666666666667,0.9401905707322447,0.006562675377651983,0.0046865951585648435,0.2795572979139989,3.0,5.0
